,timestamp,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,uq type,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,status
464,30/10/2023 12:04:41,Non-Rural,68,80,74,74.0,74.0,,,,,,,Deakin University,6.625,74.0,"CSP, BMP",1.0,2,0,0,2nd,,,,Very well,,2023,11-25,"ANU, Griffith, UNDS, UQ",
465,30/10/2023 12:06:09,Non-Rural,60,73,88,73.67,77.25,Griffith University,6.95,77.25,BMP,1.0,,,,,"CSP, BMP",,0,0,0,,,,Yes,Unsure,,2023,51-100,,
466,30/10/2023 12:08:21,Non-Rural,65,74,79,72.67,74.25,Griffith University,6.813,74.25,CSP,1.0,,,,,"CSP, BMP",,0,2,0,4th,Tier 3,,Yes,Well,"Grif-GC, honours 1st class",2023,51-100,,
467,30/10/2023 12:09:50,Non-Rural,67,77,60,68.0,66.0,The University of Notre Dame Fremantle,6.75,68.0,BMP,2.0,,The University of Notre Dame Sydney,6.75,68.0,"CSP, BMP",1.0,0,0,0,4th,,,Unsure,Very well,,2023,6-10,,
468,30/10/2023 12:10:26,Non-Rural,69,74,84,75.67,77.75,The University of Notre Dame Sydney,6.9,75.67,CSP,1.0,,,,,"CSP, BMP, FFP",,0,0,0,4th,,,Yes,Very well,,2023,11-25,,
469,30/10/2023 12:11:51,Non-Rural,75,66,74,71.67,72.25,,,,,,,The University of Notre Dame Fremantle,6.625,71.67,"CSP, BMP, FFP",5.0,0,2,0,2nd,,,,Poorly,,2023,0-5,ANU,
470,30/10/2023 12:12:38,Non-Rural,71,57,80,69.33,72.0,,,,,,,The University of Queensland (DD MP),6.833,69.33,"CSP, BMP",1.0,0,0,0,,Tier 3,,,Well,,2023,6-10,Griffith,
471,30/10/2023 12:12:55,Non-Rural,60,76,67,67.67,67.5,,,,,,,The University of Queensland (CQ-WB RMP),7.0,67.67,"CSP, BMP, FFP",1.0,2,2,0,4th,Tier 3,,,Well,GAM application also.,2023,26-50,"ANU, Deakin, UniMelb, UNDS, UWA",
472,30/10/2023 12:13:38,Rural,68,67,56,63.67,61.75,The University of Queensland (Greater Brisbane),7.0,63.67,CSP,1.0,,,,,CSP,,0,0,0,,,,Yes,Well,,2023,0-5,,
473,30/10/2023 12:14:05,Non-Rural,67,72,76,71.67,72.75,Deakin University,6.487,72.75,CSP,1.0,,,,,"CSP, BMP",,4,0,0,4th,,,Yes,Very well,"GAM, strong interview",2023,26-50,,
474,30/10/2023 12:14:09,Non-Rural,65,71,63,66.33,65.5,The University of Queensland (CQ-WB RMP),7.0,66.33,CSP,1.0,,,,,"CSP, BMP",,2,2,0,,Tier 3,,Yes,Poorly,Offer was for Bundaberg,2023,0-5,,
475,30/10/2023 12:15:55,Non-Rural,61,64,62,62.33,62.25,,,,,,,The University of Notre Dame Sydney,7.0,62.33,"CSP, BMP",1.0,0,0,0,4th,,,,Unsure,,2023,11-25,"ANU, Deakin, UNDF, UQ, UoW",
476,30/10/2023 12:16:44,Non-Rural,65,77,74,72.0,72.5,,,,,,,The University of Melbourne,6.93,72.0,"CSP, BMP",1.0,0,0,0,,,,,Unsure,,2023,51-100,"ANU, Deakin, Griffith, MQ, UQ",
477,30/10/2023 12:17:22,Non-Rural,56,56,75,62.33,65.5,,,,,,,Deakin University,6.71,65.5,"CSP, BMP, FFP",1.0,6,0,0,3rd,,,,Unsure,,2023,26-50,"Griffith, MQ, UniMelb, UNDS, UWA",
478,30/10/2023 12:17:34,Rural,74,72,70,72.0,71.5,The University of Wollongong,5.5,71.5,CSP,1.0,,,,,"CSP, BMP",,0,0,0,2nd,,,Unsure,Poorly,Strong portfolio (IMO),2023,6-10,,
479,30/10/2023 12:17:45,Non-Rural,71,67,87,75.0,78.0,Australian National University,6.835,78.0,CSP,1.0,,,,,"CSP, BMP",,2,0,0,,,,Yes,Poorly,GAM,2023,6-10,,
480,30/10/2023 12:18:17,Non-Rural,74,70,64,69.33,68.0,The University of Notre Dame Sydney,6.8,69.33,CSP,3.0,,,,,"CSP, BMP, FFP",,0,0,0,4th,,,Yes,Well,,2023,11-25,,
481,30/10/2023 12:19:06,Non-Rural,67,77,57,67.0,64.5,,,,,,,The University of Notre Dame Sydney,6.824,67.0,"CSP, BMP",3.0,0,0,0,3rd,,,,Unsure,,2023,11-25,"Deakin, UniMelb",
482,30/10/2023 12:19:10,Non-Rural,63,69,84,72.0,75.0,Deakin University,6.671,75.0,CSP,1.0,,,,,"CSP, BMP",,6,0,0,,,,No,Very well,,2023,11-25,,
483,30/10/2023 12:20:24,Non-Rural,71,79,64,71.33,69.5,The University of Notre Dame Fremantle,6.585,71.33,BMP,5.0,,The University of Notre Dame Sydney,6.585,71.33,"CSP, BMP",1.0,0,0,0,4th,,,No,Unsure,,2023,11-25,"UniMelb, UWA, UoW",
484,30/10/2023 12:23:16,Non-Rural,69,63,75,69.0,70.5,,,,,,,Deakin University,6.427,70.5,"CSP, BMP",2.0,8,0,0,,,,,Unsure,"Interview - felt like I had hit the nail on the head with some stations, and completely missed the plot in others.",2023,6-10,"ANU, Griffith, UWA",
485,30/10/2023 12:23:59,Non-Rural,67,75,69,70.33,70.0,Deakin University,6.354,70.0,CSP,1.0,,,,,"CSP, BMP",,14,0,0,4th,,,Yes,Well,,2023,11-25,,
486,30/10/2023 12:24:11,Non-Rural,61,71,65,65.67,65.5,Deakin University,6.5,65.5,CSP,5.0,,The University of Wollongong,5.5,65.5,"CSP, BMP",2.0,2,0,0,3rd,,,Yes,Unsure,,2023,6-10,"ANU, UniMelb",
487,30/10/2023 12:24:29,Non-Rural,58,76,89,74.33,78.0,,,,,,,The University of Melbourne,6.98,74.33,"CSP, BMP",1.0,0,0,0,3rd,,,,Well,,2023,101-250,"ANU, Griffith, UNDS, UQ",
488,30/10/2023 12:24:37,Non-Rural,61,69,87,72.33,76.0,Australian National University,6.505,76.0,CSP,1.0,,,,,"CSP, BMP",,2,0,0,,,,Yes,Well,,2023,6-10,,
489,30/10/2023 12:25:25,Non-Rural,54,65,70,63.0,64.75,The University of Notre Dame Sydney,6.907,63.0,CSP,2.0,,,,,"CSP, BMP",,0,0,0,4th,,,Yes,Unsure,,2023,26-50,,
490,30/10/2023 12:28:28,Non-Rural,73,63,76,70.67,72.0,,,,,,,The University of Melbourne,6.75,70.67,"CSP, BMP, FFP",1.0,0,0,0,2nd,,,,Poorly,GAM,2023,26-50,"ANU, Deakin, MQ, UNDS, UoW",
491,30/10/2023 12:29:02,Non-Rural,62,69,65,65.33,65.25,,,,,,,The University of Notre Dame Fremantle,7.0,65.33,"CSP, BMP",1.0,0,0,0,4th,,,,Well,WA resident,2023,6-10,UWA,
492,30/10/2023 12:29:23,Non-Rural,62,67,66,65.0,65.25,The University of Queensland (CQ-WB RMP),6.859,65.0,CSP,1.0,,,,,CSP,,0,0,0,4th,Tier 3,,No,Well,,2023,11-25,,
493,30/10/2023 12:29:54,Non-Rural,76,68,59,67.67,65.5,The University of Notre Dame Sydney,6.913,67.67,FFP,3.0,,,,,"CSP, BMP, FFP",,0,0,0,4th,,,Yes,Poorly,,2023,0-5,,
494,30/10/2023 12:30:14,Rural,50,65,67,60.67,62.25,Deakin University,6.67,62.25,BMP,1.0,,,,,"CSP, BMP, FFP",,8,0,0,,Tier 2,,Yes,Poorly,,2023,0-5,,
495,30/10/2023 12:30:39,Non-Rural,61,57,80,66.0,69.5,Griffith University,6.885,69.5,CSP,1.0,,,,,"CSP, BMP",,0,0,0,,Tier 3,,Yes,Well,,2023,51-100,,
496,30/10/2023 12:31:33,Non-Rural,62,79,59,66.67,64.75,The University of Queensland (CQ-WB RMP),6.738,66.67,CSP,3.0,,,,,"CSP, BMP",,0,0,0,,Tier 3,,Yes,Poorly,,2023,26-50,,
497,30/10/2023 12:32:39,Non-Rural,69,64,75,69.33,70.75,The University of Queensland (CQ-WB RMP),6.868,69.33,CSP,3.0,,,,,"CSP, BMP",,0,0,0,,Tier 3,,Yes,Well,,2023,11-25,,
498,30/10/2023 12:32:43,Rural,57,63,83,67.67,71.5,Griffith University,6.643,71.5,BMP,1.0,,,,,"CSP, BMP",,10,0,0,,,,Yes,Well,Griffith GC,2023,51-100,,
499,30/10/2023 12:33:23,Non-Rural,60,71,75,68.67,70.25,The University of Queensland (CQ-WB RMP),6.94,68.67,CSP,3.0,,,,,"CSP, BMP",,2,0,0,,Tier 3,,Yes,Poorly,,2023,51-100,,
500,30/10/2023 12:33:42,Non-Rural,72,68,70,70.0,70.0,,,,,,,Griffith University,6.74,70.0,"CSP, BMP",1.0,0,0,0,,,,,Unsure,,2023,6-10,"ANU, UniMelb, UQ",
501,30/10/2023 12:34:33,Rural,67,62,77,68.67,70.75,,,,,,,The University of Queensland (Greater Brisbane),6.46,68.67,"CSP, BMP",1.0,0,0,0,,,,,Well,,2023,6-10,"ANU, Griffith, UniMelb, UWA",
502,30/10/2023 12:36:42,Non-Rural,67,61,67,65.0,65.5,,,,,,,Macquarie University,7.0,65.5,FFP,1.0,0,0,3,,,,,Unsure,,2023,11-25,,
503,30/10/2023 12:39:19,Non-Rural,63,70,67,66.67,66.75,,,,,,,The University of Notre Dame Sydney,6.2,66.67,"CSP, BMP",5.0,0,0,0,4th,,,,Very well,,2023,6-10,UoW,
504,30/10/2023 12:39:45,Non-Rural,66,66,81,71.0,73.5,Deakin University,6.729,73.5,CSP,2.0,,,,,"CSP, BMP",,4,2,0,3rd,,,Yes,Well,,2023,26-50,,
505,30/10/2023 12:40:29,Non-Rural,59,69,55,61.0,59.5,,,,,,,The University of Notre Dame Fremantle,6.78,61.0,"CSP, BMP",1.0,0,2,0,4th,,,,Unsure,,2023,11-25,"ANU, Griffith, UniMelb, UNDS, UoW",
506,30/10/2023 12:40:44,Rural,62,71,53,62.0,59.75,The University of Queensland (DD MP),7.0,62.0,CSP,1.0,,,,,"CSP, BMP",,12,2,0,,Tier 2,,Yes,Unsure,,2023,26-50,,
507,30/10/2023 12:42:50,Non-Rural,64,68,74,68.67,70.0,The University of Wollongong,5.5,70.0,BMP,1.0,,,,,"CSP, BMP",,0,0,0,3rd,,,Yes,Unsure,Strong portfolio,2023,26-50,,
