,uni,offer type,postgrad,gpa,gamsat,combo score
298,University of Sydney,CSP,Yes,6.08,75.0,1.618571429
299,University of Sydney,CSP,No,6.2,76.0,1.645714286
300,University of Sydney,CSP,No,6.7,76.0,1.717142857
301,University of Sydney,CSP,No,6.78,76.0,1.728571429
302,University of Sydney,CSP,Yes,5.4,76.0,1.531428571
303,University of Sydney,CSP,No,6.13,76.0,1.635714286
304,University of Sydney,CSP,No,7.0,76.0,1.76
305,University of Sydney,CSP,No,6.56,77.0,1.707142857
306,University of Sydney,CSP,Yes,5.6,77.0,1.57
307,University of Sydney,CSP,No,6.92,77.0,1.758571429
308,University of Sydney,CSP,No,5.65,77.0,1.577142857
309,University of Sydney,CSP,No,7.0,78.0,1.78
310,University of Sydney,CSP,No,6.96,78.0,1.774285714
311,University of Sydney,CSP,No,6.83,78.0,1.755714286
312,University of Sydney,BMP,No,6.97,79.0,1.785714286
313,University of Sydney,CSP,No,6.09,79.0,1.66
314,University of Sydney,BMP,No,5.6,81.0,1.61
315,University of Sydney,CSP,No,6.63,81.0,1.757142857
316,University of Sydney,CSP,No,7.0,82.0,1.82
317,University of Sydney,CSP,No,6.6,90.0,1.842857143
363,University of Western Australia,BMP,No,7.0,66.0,1.66
365,University of Western Australia,BMP,No,6.82,68.0,1.654285714
366,University of Western Australia,CSP,No,6.89,69.0,1.674285714
367,University of Western Australia,CSP,No,6.92,73.0,1.718571429
368,University of Western Australia,BMP,No,6.94,73.0,1.721428571
369,University of Western Australia,CSP,No,6.84,75.0,1.727142857
370,University of Western Australia,CSP,No,7.0,77.0,1.77
371,University of Western Australia,CSP,No,6.97,77.0,1.765714286
373,University of Wollongong,CSP,No,6.37,59.0,1.5
374,University of Wollongong,CSP,Yes,6.77,61.0,1.577142857
375,University of Wollongong,BMP,No,6.64,61.0,1.558571429
376,University of Wollongong,CSP,No,6.19,65.0,1.534285714
377,University of Wollongong,BMP,No,6.96,65.0,1.644285714
389,Australian National University,Other,No,6.88,70.0,1.682857143
390,Australian National University,CSP,No,6.88,63.0,1.612857143
391,Australian National University,Other,No,6.65,70.0,1.65
392,Australian National University,CSP,No,6.95,65.0,1.642857143
393,Australian National University,Other,No,6.52,65.0,1.581428571
394,Australian National University,CSP,No,6.91,65.0,1.637142857
395,Australian National University,Other,No,6.53,67.0,1.602857143
396,Australian National University,CSP,No,6.74,67.0,1.632857143
398,Australian National University,CSP,No,6.73,67.0,1.631428571
399,Australian National University,CSP,No,6.75,63.0,1.594285714
400,Australian National University,BMP,No,6.46,70.0,1.622857143
401,Australian National University,CSP,No,6.83,64.0,1.615714286
402,Australian National University,CSP,No,6.7,65.0,1.607142857
412,Deakin University,CSP,No,6.88,65.0,1.632857143
413,Deakin University,CSP,No,6.74,71.0,1.672857143
415,Deakin University,CSP,No,6.93,66.0,1.65
416,Deakin University,CSP,No,6.64,72.0,1.668571429
418,Deakin University,CSP,No,6.46,73.0,1.652857143
419,Deakin University,BMP,No,6.97,66.0,1.655714286
421,Deakin University,BMP,Yes,7.0,63.0,1.63
423,Deakin University,CSP,No,6.95,66.0,1.652857143
424,Deakin University,CSP,No,6.98,66.0,1.657142857
425,Deakin University,CSP,No,6.8,68.0,1.651428571
429,Deakin University,CSP,No,6.96,67.0,1.664285714
430,Deakin University,BMP,No,6.78,68.0,1.648571429
437,Flinders University,Other,No,7.0,67.0,1.67
438,Flinders University,Other,No,6.79,63.0,1.6
439,Flinders University,CSP,No,6.29,68.0,1.578571429
440,Flinders University,CSP,No,5.83,64.0,1.472857143
441,Flinders University,CSP,No,6.7,67.0,1.627142857
442,Flinders University,CSP,No,5.23,71.0,1.457142857
443,Flinders University,Other,No,6.93,69.0,1.68
444,Flinders University,CSP,No,6.93,67.0,1.66
445,Flinders University,CSP,No,5.86,73.0,1.567142857
446,Flinders University,CSP,No,6.5,61.0,1.538571429
447,Flinders University,Other,No,6.13,69.0,1.565714286
448,Flinders University,Other,No,6.29,65.0,1.548571429
457,Griffith University,CSP,No,6.5,69.0,1.618571429
458,Griffith University,CSP,No,6.97,67.0,1.665714286
459,Griffith University,CSP,Yes,6.92,64.0,1.628571429
460,Griffith University,CSP,No,6.86,64.0,1.62
461,Griffith University,CSP,No,6.98,66.0,1.657142857
462,Griffith University,CSP,Yes,7.0,65.0,1.65
463,Griffith University,CSP,No,6.57,69.0,1.628571429
464,Griffith University,BMP,No,7.0,62.0,1.62
465,Griffith University,CSP,No,6.97,65.0,1.645714286
466,Griffith University,CSP,No,6.87,69.0,1.671428571
467,Griffith University,CSP,No,6.79,65.0,1.62
468,Griffith University,BMP,No,6.81,66.0,1.632857143
469,Griffith University,CSP,No,6.44,66.0,1.58
470,Griffith University,CSP,Yes,7.0,62.0,1.62
471,Griffith University,BMP,No,6.83,66.0,1.635714286
472,Griffith University,CSP,No,6.51,71.0,1.64
473,Griffith University,CSP,No,6.24,76.0,1.651428571
474,Griffith University,CSP,Yes,6.67,67.0,1.622857143
475,Griffith University,CSP,No,6.79,68.0,1.65
476,Griffith University,CSP,No,6.78,61.0,1.578571429
477,Griffith University,CSP,No,6.55,78.0,1.715714286
478,Griffith University,CSP,No,6.85,65.0,1.628571429
479,Griffith University,CSP,No,6.59,69.0,1.631428571
481,Griffith University,CSP,Yes,7.0,61.0,1.61
482,Griffith University,CSP,No,6.45,72.0,1.641428571
483,Griffith University,CSP,No,6.65,66.0,1.61
505,University of Melbourne,CSP,No,6.95,74.0,1.732857143
506,University of Melbourne,CSP,Yes,6.83,65.0,1.625714286
510,University of Melbourne,CSP,No,6.95,70.0,1.692857143
511,University of Melbourne,CSP,No,6.9,70.0,1.685714286
512,University of Melbourne,CSP,No,6.97,65.0,1.645714286
513,University of Melbourne,CSP,No,6.99,66.0,1.658571429
514,University of Melbourne,CSP,No,6.9,71.0,1.695714286
515,University of Melbourne,CSP,No,6.94,65.0,1.641428571
516,University of Melbourne,CSP,No,6.7,68.0,1.637142857
518,University of Melbourne,CSP,No,6.89,71.0,1.694285714
519,University of Melbourne,CSP,No,6.83,64.0,1.615714286
520,University of Melbourne,BMP,No,6.87,69.0,1.671428571
521,University of Melbourne,BMP,No,6.89,65.0,1.634285714
522,University of Melbourne,CSP,No,6.9,79.0,1.775714286
523,University of Melbourne,CSP,No,6.75,70.0,1.664285714
524,University of Melbourne,CSP,No,7.0,70.0,1.7
525,University of Melbourne,CSP,No,6.68,74.0,1.694285714
526,University of Melbourne,CSP,No,6.56,72.0,1.657142857
529,University of Melbourne,CSP,No,6.98,67.0,1.667142857
530,University of Melbourne,CSP,No,6.96,73.0,1.724285714
531,University of Melbourne,CSP,No,6.92,71.0,1.698571429
532,University of Melbourne,CSP,No,6.98,71.0,1.707142857
533,University of Melbourne,BMP,No,6.95,67.0,1.662857143
534,University of Melbourne,BMP,No,6.85,68.0,1.658571429
535,University of Melbourne,BMP,No,6.71,70.0,1.658571429
536,University of Melbourne,CSP,No,6.89,73.0,1.714285714
537,University of Melbourne,CSP,No,6.82,79.0,1.764285714
538,University of Melbourne,CSP,No,6.55,74.0,1.675714286
541,University of Melbourne,CSP,No,6.89,72.0,1.704285714
542,University of Melbourne,CSP,No,6.98,68.0,1.677142857
543,University of Melbourne,CSP,No,6.98,63.0,1.627142857
544,University of Melbourne,CSP,No,6.91,68.0,1.667142857
561,University of Notre Dame Fremantle,CSP,Yes,6.52,62.0,1.551428571
562,University of Notre Dame Fremantle,CSP,No,6.3,62.0,1.52
563,University of Notre Dame Fremantle,CSP,No,6.61,61.0,1.554285714
564,University of Notre Dame Fremantle,CSP,No,6.24,64.0,1.531428571
565,University of Notre Dame Fremantle,CSP,No,6.81,61.0,1.582857143
566,University of Notre Dame Fremantle,CSP,No,6.93,64.0,1.63
567,University of Notre Dame Fremantle,BMP,No,6.59,66.0,1.601428571
568,University of Notre Dame Fremantle,BMP,No,6.95,61.0,1.602857143
569,University of Notre Dame Fremantle,CSP,No,6.48,62.0,1.545714286
570,University of Notre Dame Fremantle,BMP,No,6.66,61.0,1.561428571
571,University of Notre Dame Fremantle,CSP,No,6.81,67.0,1.642857143
572,University of Notre Dame Fremantle,BMP,No,6.85,63.0,1.608571429
573,University of Notre Dame Fremantle,CSP,No,6.6,73.0,1.672857143
574,University of Notre Dame Fremantle,CSP,No,6.44,70.0,1.62
575,University of Notre Dame Fremantle,CSP,No,6.6,74.0,1.682857143
576,University of Notre Dame Fremantle,CSP,No,6.7,67.0,1.627142857
577,University of Notre Dame Fremantle,CSP,No,6.67,65.0,1.602857143
583,University of Notre Dame Sydney,CSP,No,6.54,67.0,1.604285714
586,University of Notre Dame Sydney,BMP,No,6.64,69.0,1.638571429
588,University of Notre Dame Sydney,BMP,No,6.96,63.0,1.624285714
589,University of Notre Dame Sydney,CSP,No,6.67,69.0,1.642857143
590,University of Notre Dame Sydney,CSP,No,6.89,58.0,1.564285714
594,University of Notre Dame Sydney,BMP,No,6.39,68.0,1.592857143
596,University of Notre Dame Sydney,CSP,No,7.0,58.0,1.58
599,University of Notre Dame Sydney,CSP,No,6.75,58.0,1.544285714
601,University of Notre Dame Sydney,CSP,No,6.44,67.0,1.59
602,University of Notre Dame Sydney,CSP,No,7.0,67.0,1.67
603,University of Notre Dame Sydney,CSP,No,6.04,70.0,1.562857143
604,University of Notre Dame Sydney,BMP,No,6.84,69.0,1.667142857
605,University of Notre Dame Sydney,CSP,No,6.56,66.0,1.597142857
608,University of Notre Dame Sydney,CSP,No,6.55,67.0,1.605714286
621,University of Queensland,CSP,No,6.3,68.0,1.58
622,University of Queensland,CSP,No,7.0,63.0,1.63
623,University of Queensland,CSP,No,6.04,67.0,1.532857143
624,University of Queensland,BMP,No,5.88,69.0,1.53
625,University of Queensland,CSP,No,6.69,71.0,1.665714286
626,University of Queensland,CSP,No,5.5,65.0,1.435714286
627,University of Queensland,CSP,No,6.63,68.0,1.627142857
628,University of Queensland,CSP,No,5.78,67.0,1.495714286
629,University of Queensland,CSP,No,6.56,68.0,1.617142857
630,University of Queensland,CSP,Yes,6.91,68.0,1.667142857
631,University of Queensland,BMP,No,6.4,72.0,1.634285714
632,University of Queensland,CSP,No,6.08,66.0,1.528571429
633,University of Queensland,CSP,Yes,6.81,67.0,1.642857143
634,University of Queensland,CSP,No,6.86,67.0,1.65
635,University of Queensland,CSP,No,6.95,72.0,1.712857143
636,University of Queensland,BMP,No,6.2,64.0,1.525714286
637,University of Queensland,CSP,No,6.72,68.0,1.64
638,University of Queensland,CSP,No,7.0,67.0,1.67
639,University of Queensland,CSP,No,7.0,67.0,1.67
651,University of Sydney,CSP,No,5.03,76.0,1.478571429
652,University of Sydney,CSP,No,6.52,71.0,1.641428571
653,University of Sydney,CSP,No,6.76,69.0,1.655714286
654,University of Sydney,CSP,No,6.95,88.0,1.872857143
655,University of Sydney,CSP,No,5.55,69.0,1.482857143
656,University of Sydney,CSP,No,5.8,69.0,1.518571429
657,University of Sydney,CSP,No,6.88,70.0,1.682857143
658,University of Sydney,CSP,No,5.2,70.0,1.442857143
659,University of Sydney,BMP,No,6.28,70.0,1.597142857
660,University of Sydney,CSP,No,6.66,72.0,1.671428571
661,University of Sydney,CSP,Yes,5.75,71.0,1.531428571
662,University of Sydney,CSP,No,5.3,69.0,1.447142857
663,University of Sydney,CSP,No,6.48,80.0,1.725714286
664,University of Sydney,CSP,No,5.96,69.0,1.541428571
665,University of Sydney,CSP,No,5.68,72.0,1.531428571
666,University of Sydney,CSP,No,6.33,75.0,1.654285714
667,University of Sydney,CSP,No,6.67,79.0,1.742857143
668,University of Sydney,CSP,No,5.4,71.0,1.481428571
669,University of Sydney,CSP,No,6.5,71.0,1.638571429
670,University of Sydney,CSP,Yes,5.88,70.0,1.54
671,University of Sydney,CSP,No,6.0,76.0,1.617142857
672,University of Sydney,BMP,No,7.0,69.0,1.69
673,University of Sydney,CSP,No,6.0,71.0,1.567142857
674,University of Sydney,CSP,No,5.21,74.0,1.484285714
675,University of Sydney,CSP,No,5.56,74.0,1.534285714
676,University of Sydney,CSP,No,6.96,73.0,1.724285714
677,University of Sydney,CSP,No,6.83,74.0,1.715714286
678,University of Sydney,BMP,No,5.82,70.0,1.531428571
679,University of Sydney,CSP,No,6.92,70.0,1.688571429
703,University of Western Australia,CSP,No,6.87,75.0,1.731428571
704,University of Western Australia,CSP,No,6.98,65.0,1.647142857
705,University of Western Australia,CSP,No,6.85,71.0,1.688571429
706,University of Western Australia,CSP,No,7.0,68.0,1.68
707,University of Western Australia,CSP,No,6.48,78.0,1.705714286
712,University of Wollongong,BMP,No,6.14,62.0,1.497142857
713,University of Wollongong,CSP,No,6.4,60.0,1.514285714
714,University of Wollongong,CSP,Yes,6.89,64.0,1.624285714
715,University of Wollongong,CSP,Yes,6.85,62.0,1.598571429
716,University of Wollongong,BMP,No,6.14,62.0,1.497142857
717,University of Wollongong,BMP,No,6.76,66.0,1.625714286
718,University of Wollongong,CSP,No,6.86,63.0,1.61
719,University of Wollongong,BMP,No,6.75,57.0,1.534285714
720,University of Wollongong,CSP,No,6.39,63.0,1.542857143
722,University of Wollongong,CSP,No,7.0,69.0,1.69
731,University of Queensland,BMP,Honours,6.87,66.0,1.641428571
732,University of Queensland,BMP,,5.34,72.0,1.482857143
733,University of Queensland,BMP,,7.0,71.0,1.71
734,University of Queensland,CSP,,6.97,79.0,1.785714286
735,University of Queensland,CSP,,6.15,75.0,1.628571429
736,University of Queensland,CSP,,6.22,75.0,1.638571429
737,University of Queensland,CSP,,6.78,76.0,1.728571429
738,University of Queensland,CSP,,6.64,71.0,1.658571429
739,University of Queensland,CSP,Honours,6.63,74.0,1.687142857
740,University of Queensland,CSP,Honours,6.0,74.0,1.597142857
741,University of Queensland,CSP,Masters (coursework),5.75,77.0,1.591428571
742,University of Queensland,CSP,,6.2,72.0,1.605714286
743,University of Queensland,CSP,Yes,6.86,76.0,1.74
744,University of Queensland,CSP,,6.05,73.0,1.594285714
745,University of Queensland,CSP,,5.95,74.0,1.59
746,University of Queensland,CSP,Honours,5.0,73.0,1.444285714
747,University of Queensland,CSP,,6.02,75.0,1.61
748,University of Queensland,CSP,,7.0,72.0,1.72
749,University of Queensland,CSP,Honours,6.98,77.0,1.767142857
750,University of Queensland,CSP,Honours,7.0,76.0,1.76
751,University of Queensland,CSP,,5.04,73.0,1.45
752,University of Queensland,CSP,,6.11,75.0,1.622857143
753,University of Queensland,CSP,,6.93,72.0,1.71
754,University of Queensland,CSP,,6.94,73.0,1.721428571
755,University of Queensland,CSP,,6.17,76.0,1.641428571
756,University of Queensland,CSP,Honours,5.4,74.0,1.511428571
757,University of Queensland,CSP,Honours,6.14,72.0,1.597142857
758,University of Queensland,CSP,Masters (coursework),5.21,68.0,1.424285714
759,University of Queensland,CSP,,6.6,72.0,1.662857143
767,University of Sydney,BMP,,6.56,66.0,1.597142857
768,University of Sydney,BMP,,6.54,70.0,1.634285714
769,University of Sydney,BMP,,5.88,70.0,1.54
770,University of Sydney,BMP,,6.71,71.0,1.668571429
771,University of Sydney,BMP,,5.88,70.0,1.54
772,University of Sydney,BMP,,6.65,80.0,1.75
773,University of Sydney,BMP,,6.91,72.0,1.707142857
774,University of Sydney,BMP,,5.25,74.0,1.49
776,University of Sydney,BMP,,6.0,72.0,1.577142857
777,University of Sydney,BMP,,5.31,68.0,1.438571429
778,University of Sydney,BMP,,5.33,68.0,1.441428571
779,University of Sydney,BMP,,6.39,73.0,1.642857143
780,University of Sydney,BMP,,6.26,68.0,1.574285714
781,University of Sydney,CSP,Honours,6.05,73.0,1.594285714
782,University of Sydney,CSP,,6.13,72.0,1.595714286
783,University of Sydney,CSP,Honours,6.57,72.0,1.658571429
784,University of Sydney,CSP,Honours,6.44,77.0,1.69
785,University of Sydney,CSP,Honours,5.08,72.0,1.445714286
786,University of Sydney,CSP,Honours,6.18,70.0,1.582857143
787,University of Sydney,CSP,Honours,5.5,69.0,1.475714286
789,University of Sydney,CSP,,6.01,76.0,1.618571429
790,University of Sydney,CSP,,6.11,72.0,1.592857143
791,University of Sydney,CSP,,6.81,74.0,1.712857143
792,University of Sydney,CSP,Honours,5.6,72.0,1.52
793,University of Sydney,CSP,Honours,5.1,69.0,1.418571429
794,University of Sydney,CSP,,6.96,72.0,1.714285714
795,University of Sydney,CSP,Honours,5.71,75.0,1.565714286
796,University of Sydney,CSP,,6.96,87.0,1.864285714
797,University of Sydney,CSP,,6.23,68.0,1.57
798,University of Sydney,CSP,,6.41,76.0,1.675714286
799,University of Sydney,CSP,,6.6,69.0,1.632857143
800,University of Sydney,CSP,,5.81,70.0,1.53
801,University of Sydney,CSP,,5.54,69.0,1.481428571
802,University of Sydney,CSP,Masters (coursework),5.5,70.0,1.485714286
803,University of Sydney,CSP,Honours,5.09,68.0,1.407142857
804,University of Sydney,CSP,,6.12,69.0,1.564285714
805,University of Sydney,CSP,,6.4,75.0,1.664285714
806,University of Sydney,CSP,,6.33,77.0,1.674285714
807,University of Sydney,CSP,,6.3,71.0,1.61
808,University of Sydney,CSP,,6.5,68.0,1.608571429
809,University of Sydney,CSP,Honours,6.91,72.0,1.707142857
810,University of Sydney,CSP,,6.0,74.0,1.597142857
811,University of Sydney,CSP,,6.18,78.0,1.662857143
812,University of Sydney,CSP,,5.52,73.0,1.518571429
813,University of Sydney,CSP,,5.31,69.0,1.448571429
814,University of Sydney,CSP,Honours,6.48,69.0,1.615714286
815,University of Sydney,CSP,Honours,6.84,75.0,1.727142857
816,University of Sydney,CSP,,6.24,75.0,1.641428571
817,University of Sydney,CSP,,6.53,73.0,1.662857143
818,University of Sydney,CSP,Honours,6.1,72.0,1.591428571
846,Australian National University,BMP,Honours,6.83,68.0,1.655714286
847,Australian National University,CSP,Honours,6.76,66.0,1.625714286
848,Australian National University,CSP,Masters (coursework),7.0,69.0,1.69
849,Australian National University,CSP,,6.92,71.0,1.698571429
850,Australian National University,CSP,Masters (coursework),6.57,71.0,1.648571429
851,Australian National University,CSP,Honours,6.43,72.0,1.638571429
852,Australian National University,CSP,Honours,6.57,73.0,1.668571429
853,Australian National University,CSP,,6.57,74.0,1.678571429
854,Australian National University,CSP,,6.79,70.0,1.67
855,Australian National University,CSP,,6.89,73.0,1.714285714
856,Australian National University,CSP,,6.87,72.0,1.701428571
857,Australian National University,CSP,Masters (coursework),6.35,74.0,1.647142857
858,Australian National University,CSP,Honours,6.82,70.0,1.674285714
859,Australian National University,CSP,Honours,6.65,66.0,1.61
860,Australian National University,CSP,Masters (coursework),6.7,66.0,1.617142857
861,Australian National University,CSP,,6.61,79.0,1.734285714
862,Australian National University,CSP,Honours,6.42,70.0,1.617142857
875,Deakin University,BMP,,6.77,66.0,1.627142857
876,Deakin University,BMP,Honours,6.96,66.0,1.654285714
877,Deakin University,BMP,,6.84,69.0,1.667142857
878,Deakin University,BMP,,6.8,69.0,1.661428571
879,Deakin University,BMP,,6.6,69.0,1.632857143
880,Deakin University,BMP,,6.81,71.0,1.682857143
881,Deakin University,BMP,,6.88,69.0,1.672857143
882,Deakin University,BMP,,6.69,76.0,1.715714286
883,Deakin University,BMP,,6.91,73.0,1.717142857
884,Deakin University,BMP,,6.95,65.0,1.642857143
885,Deakin University,BMP,,6.8,61.0,1.581428571
886,Deakin University,CSP,,6.85,63.0,1.608571429
887,Deakin University,CSP,,6.96,68.0,1.674285714
888,Deakin University,CSP,,6.81,71.0,1.682857143
889,Deakin University,CSP,,6.94,67.0,1.661428571
891,Deakin University,CSP,,6.78,69.0,1.658571429
892,Deakin University,CSP,,6.36,65.0,1.558571429
893,Deakin University,CSP,Masters (coursework),6.22,76.0,1.648571429
894,Deakin University,CSP,,6.59,69.0,1.631428571
895,Deakin University,CSP,,6.56,73.0,1.667142857
896,Deakin University,CSP,Honours,6.68,68.0,1.634285714
897,Deakin University,CSP,,6.79,63.0,1.6
898,Deakin University,CSP,Honours,6.67,68.0,1.632857143
899,Deakin University,CSP,,6.92,67.0,1.658571429
900,Deakin University,CSP,,7.0,69.0,1.69
901,Deakin University,CSP,,6.77,70.0,1.667142857
902,Deakin University,CSP,,6.91,70.0,1.687142857
903,Deakin University,CSP,,6.68,73.0,1.684285714
913,Flinders University,BMP,,6.16,62.0,1.5
914,Flinders University,BMP,PhD,6.8,60.0,1.571428571
915,Flinders University,BMP,,5.85,62.0,1.455714286
916,Flinders University,BMP,,6.22,62.0,1.508571429
917,Flinders University,CSP,,5.83,63.0,1.462857143
918,Flinders University,CSP,,6.07,66.0,1.527142857
919,Flinders University,CSP,Honours,6.52,66.0,1.591428571
920,Flinders University,CSP,Honours,6.27,65.0,1.545714286
923,Griffith University,BMP,,6.85,65.0,1.628571429
924,Griffith University,BMP,,6.73,69.0,1.651428571
925,Griffith University,CSP,,6.84,69.0,1.667142857
926,Griffith University,CSP,,6.82,69.0,1.664285714
927,Griffith University,CSP,,6.62,72.0,1.665714286
928,Griffith University,CSP,,7.0,69.0,1.69
929,Griffith University,CSP,,6.85,70.0,1.678571429
930,Griffith University,CSP,,6.91,70.0,1.687142857
931,Griffith University,CSP,,6.94,72.0,1.711428571
932,Griffith University,CSP,,7.0,65.0,1.65
933,Griffith University,CSP,Honours,6.94,61.0,1.601428571
934,Griffith University,CSP,,6.96,66.0,1.654285714
935,Griffith University,CSP,,6.79,69.0,1.66
936,Griffith University,CSP,Honours,6.98,67.0,1.667142857
937,Griffith University,CSP,Honours,6.7,72.0,1.677142857
938,Griffith University,CSP,,6.73,72.0,1.681428571
939,Griffith University,CSP,,6.94,70.0,1.691428571
940,Griffith University,CSP,Honours,7.0,72.0,1.72
941,Griffith University,CSP,,6.78,69.0,1.658571429
942,Griffith University,CSP,,7.0,64.0,1.64
943,Griffith University,CSP,PhD,7.0,68.0,1.68
944,Griffith University,CSP,,6.98,66.0,1.657142857
945,Griffith University,CSP,,6.9,69.0,1.675714286
946,Griffith University,CSP,,6.97,67.0,1.665714286
947,Griffith University,CSP,Masters (coursework),6.69,68.0,1.635714286
970,University of Melbourne,BMP,,6.37,70.0,1.61
971,University of Melbourne,BMP,,7.0,64.0,1.64
972,University of Melbourne,BMP,,6.66,66.0,1.611428571
973,University of Melbourne,BMP,,6.55,66.0,1.595714286
974,University of Melbourne,BMP,,6.77,73.0,1.697142857
975,University of Melbourne,BMP,,6.83,68.0,1.655714286
976,University of Melbourne,CSP,,6.43,77.0,1.688571429
977,University of Melbourne,CSP,Honours,6.84,66.0,1.637142857
979,University of Melbourne,CSP,,6.88,72.0,1.702857143
980,University of Melbourne,CSP,,6.88,71.0,1.692857143
981,University of Melbourne,CSP,,6.8,70.0,1.671428571
982,University of Melbourne,CSP,,6.99,80.0,1.798571429
983,University of Melbourne,CSP,,6.98,72.0,1.717142857
984,University of Melbourne,CSP,,6.81,71.0,1.682857143
985,University of Melbourne,CSP,,6.83,76.0,1.735714286
986,University of Melbourne,CSP,,6.98,76.0,1.757142857
987,University of Melbourne,CSP,Masters,6.82,75.0,1.724285714
988,University of Melbourne,CSP,,6.82,70.0,1.674285714
989,University of Melbourne,CSP,,6.96,69.0,1.684285714
990,University of Melbourne,CSP,,6.3,74.0,1.64
991,University of Melbourne,CSP,,6.56,73.0,1.667142857
992,University of Melbourne,CSP,,6.7,69.0,1.647142857
993,University of Melbourne,CSP,,7.0,69.0,1.69
994,University of Melbourne,CSP,,6.8,70.0,1.671428571
995,University of Melbourne,CSP,,7.0,74.0,1.74
996,University of Melbourne,CSP,,6.49,71.0,1.637142857
997,University of Melbourne,CSP,,6.84,73.0,1.707142857
998,University of Melbourne,CSP,,6.65,73.0,1.68
999,University of Melbourne,CSP,,6.83,73.0,1.705714286
1001,University of Melbourne,CSP,,6.88,78.0,1.762857143
1002,University of Melbourne,CSP,,6.87,74.0,1.721428571
1003,University of Melbourne,CSP,Honours,6.74,72.0,1.682857143
1004,University of Melbourne,CSP,,6.7,71.0,1.667142857
1005,University of Melbourne,CSP,,6.98,71.0,1.707142857
1006,University of Melbourne,CSP,Honours,6.78,70.0,1.668571429
1007,University of Melbourne,CSP,,6.87,70.0,1.681428571
1008,University of Melbourne,CSP,,6.94,68.0,1.671428571
1009,University of Melbourne,CSP,,6.96,69.0,1.684285714
1010,University of Melbourne,CSP,,6.98,74.0,1.737142857
1011,University of Melbourne,CSP,,6.8,67.0,1.641428571
1012,University of Melbourne,CSP,,6.59,73.0,1.671428571
1013,University of Melbourne,CSP,Honours,6.62,70.0,1.645714286
1014,University of Melbourne,CSP,,6.91,66.0,1.647142857
1015,University of Melbourne,CSP,,6.98,68.0,1.677142857
1016,University of Melbourne,CSP,,7.0,71.0,1.71
1017,University of Melbourne,CSP,,6.97,76.0,1.755714286
1018,University of Melbourne,CSP,,7.0,69.0,1.69
1019,University of Melbourne,CSP,,6.7,72.0,1.677142857
1020,University of Melbourne,CSP,Masters (coursework),6.95,71.0,1.702857143
1021,University of Melbourne,CSP,,6.55,70.0,1.635714286
1022,University of Melbourne,CSP,,6.94,75.0,1.741428571
1023,University of Melbourne,CSP,,6.9,68.0,1.665714286
1024,University of Melbourne,CSP,,6.62,71.0,1.655714286
1025,University of Melbourne,CSP,,6.71,72.0,1.678571429
1026,University of Melbourne,CSP,,6.8,70.0,1.671428571
1050,University of Notre Dame Fremantle,BMP,,6.13,66.0,1.535714286
1051,University of Notre Dame Fremantle,BMP,,6.38,56.0,1.471428571
1052,University of Notre Dame Fremantle,BMP,Masters (coursework),6.38,69.0,1.601428571
1053,University of Notre Dame Fremantle,BMP,Masters (coursework),6.63,65.0,1.597142857
1054,University of Notre Dame Fremantle,BMP,,6.62,68.0,1.625714286
1055,University of Notre Dame Fremantle,CSP,,6.71,69.0,1.648571429
1056,University of Notre Dame Fremantle,CSP,,6.94,66.0,1.651428571
1057,University of Notre Dame Fremantle,CSP,Honours,6.33,67.0,1.574285714
1058,University of Notre Dame Fremantle,CSP,Masters (coursework),6.22,65.0,1.538571429
1059,University of Notre Dame Fremantle,CSP,Honours,6.78,63.0,1.598571429
1060,University of Notre Dame Fremantle,CSP,,6.6,72.0,1.662857143
1061,University of Notre Dame Fremantle,CSP,PhD,6.22,66.0,1.548571429
1062,University of Notre Dame Fremantle,CSP,Honours,6.96,64.0,1.634285714
1063,University of Notre Dame Fremantle,CSP,Honours,6.65,69.0,1.64
1064,University of Notre Dame Fremantle,CSP,Honours,6.3,64.0,1.54
1065,University of Notre Dame Fremantle,CSP,Masters (coursework),6.7,66.0,1.617142857
1066,University of Notre Dame Fremantle,CSP,,6.17,66.0,1.541428571
1067,University of Notre Dame Fremantle,CSP,Honours,6.66,64.0,1.591428571
1068,University of Notre Dame Fremantle,CSP,,6.69,59.0,1.545714286
1069,University of Notre Dame Fremantle,CSP,Honours,6.56,58.0,1.517142857
1074,University of Notre Dame Sydney,BMP,,6.93,65.0,1.64
1075,University of Notre Dame Sydney,BMP,Masters (coursework),6.8,60.0,1.571428571
1076,University of Notre Dame Sydney,BMP,,6.92,62.0,1.608571429
1080,University of Notre Dame Sydney,CSP,,6.86,67.0,1.65
1081,University of Notre Dame Sydney,CSP,,6.84,69.0,1.667142857
1082,University of Notre Dame Sydney,CSP,Masters (coursework),6.35,67.0,1.577142857
1083,University of Notre Dame Sydney,CSP,Honours,6.91,68.0,1.667142857
1084,University of Notre Dame Sydney,CSP,Honours,6.62,65.0,1.595714286
1085,University of Notre Dame Sydney,CSP,,6.64,64.0,1.588571429
1086,University of Notre Dame Sydney,CSP,Honours,6.31,71.0,1.611428571
1087,University of Notre Dame Sydney,CSP,Honours,6.53,67.0,1.602857143
1089,University of Notre Dame Sydney,CSP,,6.42,67.0,1.587142857
1090,University of Notre Dame Sydney,CSP,,6.5,64.0,1.568571429
1105,University of Queensland,BMP,,6.2,74.0,1.625714286
1106,University of Queensland,BMP,,6.3,74.0,1.64
