,uni,offer type,postgrad,gpa,gamsat,combo score
1669,Deakin University,CSP,,6.7,67.0,1.627142857
1670,Deakin University,CSP,,6.74,67.0,1.632857142
1671,Deakin University,CSP,,6.88,65.0,1.632857142
1672,Deakin University,CSP,,6.93,70.0,1.69
1673,Deakin University,CSP,,7.0,69.0,1.69
1674,Deakin University,Othe,,6.8,60.0,1.571428571
1675,Deakin University,Othe,,6.35,70.0,1.607142857
1676,Deakin University,Othe,,6.9,63.0,1.615714285
1677,Deakin University,Othe,,6.88,64.0,1.622857142
1678,Deakin University,Othe,,6.86,65.0,1.63
1679,Deakin University,Othe,,6.77,68.0,1.647142857
1680,Deakin University,Othe,,6.96,67.0,1.664285714
1689,Flinders University,BMP,Honours,6.2,62.0,1.505714285
1691,Flinders University,CSP,,5.74,63.0,1.45
1692,Flinders University,CSP,,6.42,63.0,1.547142857
1693,Flinders University,CSP,,6.33,66.0,1.564285714
1694,Flinders University,CSP,,6.75,66.0,1.624285714
1695,Flinders University,CSP,,6.5,70.0,1.628571428
1696,Flinders University,CSP,,6.5,70.0,1.628571428
1697,Flinders University,CSP,,6.5,70.0,1.628571428
1698,Flinders University,CSP,,6.79,68.0,1.65
1699,Flinders University,CSP,,6.87,72.0,1.701428571
1700,Flinders University,CSP,,6.87,72.0,1.701428571
1701,Flinders University,CSP,,6.96,66.0,1.654285714
1702,Flinders University,Othe,Honours,5.8,66.0,1.488571428
1703,Flinders University,Othe,,5.7,60.0,1.414285714
1704,Flinders University,Othe,,6.33,64.0,1.544285714
1705,Flinders University,Othe,,6.32,67.0,1.572857142
1706,Flinders University,Othe,,6.68,70.0,1.654285714
1707,Flinders University,Othe,,6.68,70.0,1.654285714
1708,Flinders University,Othe,,6.68,70.0,1.654285714
1711,Griffith University,BMP,,6.94,61.0,1.601428571
1712,Griffith University,BMP,,6.82,69.0,1.664285714
1714,Griffith University,CSP,Honours,6.76,65.0,1.615714285
1715,Griffith University,CSP,Honours,6.55,69.0,1.625714285
1716,Griffith University,CSP,Honours,6.55,69.0,1.625714285
1717,Griffith University,CSP,,6.55,64.0,1.575714285
1718,Griffith University,CSP,,6.45,66.0,1.581428571
1719,Griffith University,CSP,,6.85,61.0,1.588571428
1720,Griffith University,CSP,,7.0,59.0,1.59
1721,Griffith University,CSP,,6.9,61.0,1.595714285
1722,Griffith University,CSP,,6.84,62.0,1.597142857
1723,Griffith University,CSP,,6.93,61.0,1.6
1724,Griffith University,CSP,,6.58,66.0,1.6
1725,Griffith University,CSP,,6.53,67.0,1.602857142
1726,Griffith University,CSP,,6.8,64.0,1.611428571
1727,Griffith University,CSP,,6.67,66.0,1.612857142
