,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
73,Non-Rural,59,80,62,Griffith University,6.938,The University of Melbourne,6.938,Deakin University,6.927,Australian National University,6.927,,,,,,,0.0,2,Did not apply,Yes,0.0,0.0,0.0,0
74,Non-Rural,65,54,70,The University of Notre Dame Fremantle,6.792,The University of Wollongong,6.792,The University of Queensland (Greater Brisbane),6.75,The University of Melbourne,6.75,,,,,,,4th,0,0.0,Yes,0.0,0.0,0.0,4
75,Non-Rural,70,65,58,The University of Queensland (Greater Brisbane),7,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
76,Non-Rural,63,63,67,Macquarie University,6.901,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
77,Rural,1,62,54,The University of Queensland (Greater Brisbane),64,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
78,Non-Rural,60,86,64,The University of Notre Dame Fremantle,6.438,The University of Wollongong,6.438,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,4
79,No   ural,62,65,84,The University of Queensland (RMP/DDMP),6.75,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,Tier 3,Rockhampton,0
80,Non-Rural,73,60,96,The University of Queensland (Greater Brisbane),6.2,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
81,Non-Rural,70,71,59,The University of Wollongong,6.895,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,4
82,Non-Rural,71,67,89,Deakin University,5.963,The University of Notre Dame Sydney,5.986,The University of Wollongong,5.986,The University of Melbourne,5.984,,,,,,,3rd,4,Did not apply,No,0.0,0.0,0.0,0
83,Non-Rural,65,68,64,0.0,,The University of Wollongong,5.813,Australian National University,5.813,The University of Queensland (RMP/DDMP),5.864,The University of Notre Dame Sydney,5.813,Griffith University,5.917,of Notre Dame Fremantle,5.813,3rd,0,0.0,0.0,0.0,Tier 3,Toowoomba,4
84,Non-Rural,63,73,79,The University of Notre Dame Sydney,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
85,Non-Rural,63,58,68,The University of Queensland (Greater Brisbane),7,The University of Wollongong,6.427,The University of Notre Dame Sydney,6.427,,,,,0.0,,0.0,,Ast,0,0.0,0.0,0.0,0.0,0.0,2
86,Non-Rural,63,61,76,Griffith University,6.771,The University of Melbourne,6.85,Deakin University,6.854,Australian National University,6.833,The University of Queensland (Greater Brisbane),6.594,0.0,,0.0,,0.0,2,Did not apply,No,0.0,0.0,0.0,0
87,Non-Rural,61,76,65,The University of Notre Dame Sydney,6.655,Griffith University,6.569,The University of Queensland (Greater Brisbane),6.655,Australian National University,6.655,Macquarie University,6.655,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
88,Non-Rural,58,72,67,The University of Queensland (Greater Brisbane),7,The University of Melbourne,7,,,,,,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
89,Non-Rural,68,55,66,The University of Queensland (Greater Brisbane),7,,,,,,,,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
90,Non-Rural,68,82,52,The University of Notre Dame Sydney,6.333,The University of Wollongong,6.33.,The University of Queensland (Greater Brisbane),6.375,,,,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,4
91,Non-Rural,67,72,55,,,The University of Melbourne,6.2,Griffith University,6.15,,,,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
92,Rural,60,79,72,Deakin University,6.77,,,,,,,,,0.0,,0.0,,2nd,10,Tier 2,0.0,0.0,0.0,0.0,0
93,No   ural,63,69,60,The University of Notre Dame Fremantle,6.917,The University of Queensland (RMP/DDMP),6.9,The University of Wollongong,6.917,Griffith University,6.917,,,0.0,,0.0,,4th,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
94,Rural,58,50,55,The University of Queensland (RMP/DDMP),6.948,,,,,,,,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,Tier 1 (CQ/MWB),Rockhampton,0
95,Non-Rural,64,76,69,The University of Notre Dame Fremantle,6.604,,,,,,,,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
96,Non-Rural,65,65,77,The University of Wollongong,6.99,,,,,,,,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,3
97,Rural,70,59,68,The University of Wollongong,6.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,3
98,Non-Rural,62,78,68,The University of Queensland (RMP/DDMP),6.844,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
99,Rural,58,71,58,The University of Wollongong,6.44,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,5
100,Rural,60,64,60,Griffith University,6.82,,,,,,,,,,,,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
101,Non-Rural,52,61,72,,,The University of Wollongong,6.771,The University of Notre Dame Sydney,6.771,The University of Notre Dame Fremantle,6.771,Griffith University,6.729,The University of Western Australia,6.604,The University of Melbourne,6.775,3rd,0,0.0,No,0.0,0.0,0.0,4
102,Non-Rural,59,69,61,The University of Queensland (Greater Brisbane),7,The University of Melbourne,6.675,Deakin University,6.708,,,,,,,,,2nd,0,Did not apply,No,0.0,0.0,0.0,0
103,Non-Rural,65,71,70,The University of Notre Dame Sydney,6.75,The University of Wollongong,6.75,The University of Melbourne,6.73,Australian National University,6.75,,,,,,,4th,0,0.0,No,0.0,0.0,0.0,4
104,Non-Rural,55,81,70,The University of Notre Dame Sydney,6.6,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
105,Rural,66,71,56,The University of Notre Dame Sydney,6.719,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
106,Non-Rural,62,66,76,The University of Wollongong,6.333,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,4
107,No   ural,63,59,66,The University of Notre Dame Fremantle,6.677,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
108,Rural,67,54,52,Deakin University,6.792,,,,,,,,,,,,,0.0,12,Did not apply,0.0,0.0,0.0,0.0,0
109,Non-Rural,65,74,63,Deakin University,6.667,,,,,,,,,,,,,0.0,8,Did not apply,0.0,0.0,0.0,0.0,0
110,Non-Rural,63,69,64,The University of Queensland (RMP/DDMP),6.89,,,,,,,,,,,,,(st,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
