,Timestamp,Rurality,University,Final Combo Score,GPA,GAMSAT,Raw Combo Score,UQ RMP/MP Tier,CASPer Quartile,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Outlier?
85,30/08/2023 23:29:50,Non-Rural,Macquarie University,1.66791142857143,6.646,69,1.63942857142857,N/A,3rd,0,0,3,B.Clinsci graduate,
86,30/08/2023 18:22:28,Non-Rural,Macquarie University,1.66278571428571,6.9,64.75,1.63321428571429,N/A,4th,0,0,3,-,
87,03/09/2023 21:41:04,Non-Rural,Macquarie University,1.65705714285714,6.98,63,1.62714285714286,N/A,4th,0,0,3,-,
88,30/08/2023 11:50:22,Non-Rural,Macquarie University,1.65285714285714,6.88,67,1.65285714285714,N/A,3rd,0,0,0,UNDF rez,
89,30/08/2023 12:53:34,Non-Rural,Macquarie University,1.64957142857143,6.787,68,1.64957142857143,N/A,1st,0,0,0,-,
90,30/08/2023 12:08:07,Non-Rural,Macquarie University,1.64357142857143,6.64,69.5,1.64357142857143,N/A,2nd,0,2,0,WA resident,
91,30/08/2023 17:31:54,Non-Rural,Macquarie University,1.64285714285714,6.53,71,1.64285714285714,N/A,2nd,0,0,0,-,
92,03/09/2023 23:19:37,Non-Rural,Macquarie University,1.6425,6.65,69.25,1.6425,N/A,1st,2,2,0,-,
93,05/09/2023 22:44:30,Non-Rural,Macquarie University,1.64178571428571,6.61,69.75,1.64178571428571,N/A,2nd,0,0,0,-,
94,02/09/2023 15:52:18,Non-Rural,Macquarie University,1.64174285714286,6.74,65,1.61285714285714,N/A,2nd,0,2,3,-,
95,30/08/2023 13:50:48,Non-Rural,Macquarie University,1.64164285714286,6.889,65.75,1.64164285714286,N/A,4th,0,0,0,-,Lowest I > Max R
96,30/08/2023 13:42:21,Non-Rural,Macquarie University,1.63514285714286,6.896,65,1.63514285714286,N/A,4th,2,2,0,Strong Portfolio,-
97,31/08/2023 02:18:07,Non-Rural,Macquarie University,1.63357142857143,6.78,66.5,1.63357142857143,N/A,1st,0,0,0,-,-
98,30/08/2023 13:35:19,Non-Rural,Macquarie University,1.63071428571429,6.9,64.5,1.63071428571429,N/A,3rd,0,0,0,High portfolio strength,-
99,30/08/2023 15:43:10,Non-Rural,Macquarie University,1.63071428571429,6.76,66.5,1.63071428571429,N/A,N/A,0,0,0,-,-
100,30/08/2023 15:03:39,Non-Rural,Macquarie University,1.6125,6.51,68.25,1.6125,N/A,3rd,0,0,0,-,-
101,02/09/2023 19:16:27,Non-Rural,The University of Melbourne,1.8233,7,82.33,1.8233,N/A,N/A,0,0,0,-,
102,31/08/2023 23:59:29,Non-Rural,The University of Melbourne,1.80812857142857,6.94,81.67,1.80812857142857,N/A,N/A,0,0,0,-,
103,30/08/2023 11:28:07,Non-Rural,The University of Melbourne,1.80241428571429,6.9,81.67,1.80241428571429,N/A,4th,0,0,0,-,
104,30/08/2023 12:34:24,Non-Rural,The University of Melbourne,1.7767,7,77.67,1.7767,N/A,N/A,2,0,0,-,
105,30/08/2023 12:48:14,Non-Rural,The University of Melbourne,1.7767,7,77.67,1.7767,N/A,N/A,0,0,0,-,
106,30/08/2023 13:11:44,Non-Rural,The University of Melbourne,1.7767,7,77.67,1.7767,N/A,N/A,0,0,0,-,
107,30/08/2023 11:18:58,Non-Rural,The University of Melbourne,1.7733,7,77.33,1.7733,N/A,N/A,0,0,0,-,
