,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
84,Non-Rural,64,81,64,0,2,2,The University of Queensland,7,The University of Melbourne,6.854,0.0,,0.0,,0.0,,0.0,,0.0,
85,Non-Rural,64,63,74,0,2,2,The University of Notre Dame Sydney,6.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
86,Non-Rural,60,62,66,0,2,2,0.0,,0.0,,The University of Notre Dame Sydney,,0.0,,0.0,,0.0,,0.0,6.427
87,Non-Rural,56,81,62,0,0,0,0.0,,The University of Queensland,7,0.0,,0.0,,0.0,,0.0,,0.0,
88,Non-Rural,59,62,76,0,2,2,The University of Queensland,7,Griffith University,65,The University of Melbourne,6.92,0.0,7,The University of Notre Dame Fremantle,6.96,0.0,,0.0,55
89,Non-Rural,55,73,74,0,0,0,Macquarie University,6.917,The University of Notre Dame Sydney,6.96,Macquarie University,6.917,0.0,,0.0,,0.0,,0.0,
90,Rural,60,60,65,8,0,0,Griffith University,6.167,The University of Notre Dame Sydney,6.917,0.0,,0.0,,0.0,,0.0,,0.0,
91,Non-Rural,64,70,76,2,0,0,The University of Notre Dame Sydney,6.86,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
92,Rural,63.,70,56,12,0,0,Deakin University,65,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
93,Non-Rural,62,61,61,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
94,Non-Rural,71,62,76,2,0,0,0.0,,The University of Notre Dame Sydney,64,Deakin University,6.479,0.0,6.479,The University of Notre Dame Fremantle,6.479,0.0,,0.0,6.354
95,Non-Rural,69,67,73,0,0,0,The University of Queensland,7,The University of Notre Dame Sydney,6.479,The University of Notre Dame Sydney,6.789,0.0,,0.0,,0.0,,0.0,
96,Non-Rural,66,75,74,0,0,0,The University of Wollongong,55,The University of Melbourne,6.775,0.0,,0.0,,0.0,,0.0,,0.0,
97,Non-Rural,61,85,67,0,0,0,The University of Notre Dame Fremantle,6.3125,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
98,Non-Rural,57,68,63,6,0,0,The University of Notre Dame Fremantle,6.481,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
99,Non-Rural,58,78,69,0,0,0,The University of Queensland,6.888,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
100,Non-Rural,66,70,68,2,0,0,The University of Notre Dame Sydney,6.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
101,Non-Rural,73,70,67,0,0,0,The University of Queensland,6.85714,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
102,Rural,63.,67,67,0,2,2,The University of Queensland,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
103,Non-Rural,63.,75,69,2,0,0,The University of Queensland,6.985,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
104,Non-Rural,69,80,65,0,0,0,The University of Notre Dame Sydney,6.48,0.0,6.985,0.0,6.3,0.0,,0.0,,0.0,,0.0,
105,Non-Rural,59,71,61,2,0,0,The University of Notre Dame Sydney,6.757,0.0,65,0.0,,0.0,,0.0,,0.0,,0.0,
106,Non-Rural,65,61,74,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
107,Non-Rural,60,70,59,0,0,0,The University of Notre Dame Sydney,6.59,0.0,6.437,0.0,,0.0,,0.0,,0.0,,0.0,
108,Non-Rural,65,64,68,0,0,0,The University of Notre Dame Fremantle,6.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
109,Non-Rural,60,66,78,0,0,0,The University of Notre Dame Sydney,6.868,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
110,Non-Rural,74,74,69,2,2,2,The University of Queensland,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
111,Non-Rural,65,89,62,6,0,0,Deakin University,6.615,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
112,Non-Rural,64,56,71,65.5,0,0,Deakin University,6.71,The University of Melbourne,6.569,0.0,,0.0,,0.0,,0.0,,0.0,
113,Rural,72,63,81,74.25,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
114,Non-Rural,66,84,62,68.5,2,2,Deakin University,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
115,Non-Rural,70,68,54,61.5,2,2,0.0,,The University of Melbourne,6.604,Deakin University,6.583,The University of Notre Dame Sydney,6.583,The University of Notre Dame Fremantle,6.583,0.0,,0.0,
116,Rural,71,78,57,65.75,0,0,The University of Queensland,59,The University of Melbourne,6.575,0.0,,0.0,,0.0,,0.0,,0.0,
117,Non-Rural,74,83,80,79.25,2,2,The University of Notre Dame Sydney,5.383,0.0,,Deakin University,,Griffith University,,Australian National University,,0.0,,0.0,
118,Non-Rural,82,72,71,74,0,0,Deakin University,6.99,The University of Queensland,5.625,0.0,,0.0,,0.0,,0.0,,0.0,
119,Non-Rural,60,69,67,65.75,0,0,Macquarie University,6.931,0.0,,The University of Melbourne,,Deakin University,,Griffith University,,0.0,,0.0,
120,Non-Rural,63.,78,68,69.25,0,0,The University of Queensland,7,Australian National University,6.931,0.0,,0.0,,0.0,,0.0,,0.0,
121,Non-Rural,63.,69,74,70,2,2,The University of Queensland,6.755,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
122,Rural,69,79,66,70,0,0,Deakin University,5.17,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
123,Non-Rural,50,85,50,58.75,0,0,The University of Notre Dame Sydney,6.771,0.0,,The University of Melbourne,,The University of Notre Dame Sydney,,The University of Notre Dame Fremantle,,0.0,,0.0,
124,Non-Rural,59,68,74,68.75,0,0,Deakin University,6.943,The University of Wollongong,55,The University of Queensland,6.871,The University of Western Australia,6.739,0.0,,0.0,,0.0,
125,Non-Rural,61,64,86,74.25,2,2,Australian National University,6.528,,6.932,0.0,,0.0,,0.0,,0.0,,0.0,
126,Non-Rural,55,56,82,2,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
127,Non-Rural,55,56,82,2,0,0,0.0,,Macquarie University,6.6,0.0,,0.0,,0.0,,0.0,,0.0,
128,Non-Rural,63,61,88,0,0,0,The University of Queensland,6.75,Macquarie University,6.6,0.0,,0.0,,0.0,,0.0,,0.0,
129,Non-Rural,69,67,68,0,0,0,The University of Wollongong,55,The University of Melbourne,6.629,The University of Notre Dame Sydney,6.3,0.0,,0.0,,0.0,,0.0,
130,Non-Rural,61,79,64,4,0,0,The University of Notre Dame Sydney,6.597,Australian National University,6.3,0.0,,0.0,,0.0,,0.0,,0.0,
131,Non-Rural,56,64,78,0,0,0,The University of Western Australia,7,0.0,,Deakin University,,0.0,,0.0,7,0.0,,0.0,
132,Non-Rural,59,78,59,0,0,0,The University of Notre Dame Fremantle,6.98,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,
133,Non-Rural,60,60,83,0,0,0,Griffith University,6.53,0.0,,The University of Queensland,,0.0,,0.0,,0.0,,0.0,
134,Non-Rural,64,83,71,0,0,0,The University of Wollongong,55,Australian National University,6.45,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,
