Residency,University,Offer type,Postgrad,Rural?,GPA,GAMSAT,GPA/7 + GAMSAT/100,Year,Deakin Bonus,Melbourne Access,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.98,68,1.677142857,2017,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.88,63,1.612857143,2017,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.1,63,1.501428571,2017,,,,,,,,,,
Local,Monash University,BMP,None,No,6.9,,0.985714286,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,7,,1,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,6.99,,0.998571429,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,6.97,,0.995714286,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,6,,0.857142857,2017,,,,,,,,,,
Local,Monash University,CSP,YES,No,6.88,,0.982857143,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,4,,0.571428571,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,6.67,,0.952857143,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,6.88,,0.982857143,2017,,,,,,,,,,
Local,Monash University,CSP,None,No,7,,1,2017,,,,,,,,,,
Local,Monash University,BMP,None,Yes,6.76,,0.965714286,2017,,,,,,,,,,
Local,University of London,FFP,None,No,5.41,59,1.362857143,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.97,72,1.715714286,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.4,76,1.674285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.75,69,1.654285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.96,71,1.704285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.96,69,1.684285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.93,74,1.73,2017,,,,,,,,,,
Local,University of Melbourne,BMP,YES,No,6.9,69,1.675714286,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.75,68,1.644285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.74,70,1.662857143,2017,,,,,,,,,,
Local,University of Melbourne,BMP,YES,No,6.97,71,1.705714286,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.75,70,1.664285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.84,71,1.687142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.85,70,1.678571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.67,78,1.732857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,74,1.74,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,78,1.777142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.49,76,1.687142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,No,6.64,73,1.678571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.94,75,1.741428571,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,77,1.77,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.91,70,1.687142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,No,6.67,73,1.682857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.76,70,1.665714286,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.51,81,1.74,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.93,72,1.71,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,No,6.32,74,1.642857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.81,67,1.642857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.96,69,1.684285714,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.38,77,1.681428571,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.71,76,1.718571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.6,70,1.642857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.39,73,1.642857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.58,70,1.64,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.72,71,1.67,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,No,6.98,83,1.827142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.81,69,1.662857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.84,74,1.717142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,71,1.71,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.97,71,1.705714286,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.75,70,1.664285714,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.94,70,1.691428571,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.89,75,1.734285714,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,69,1.69,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.92,72,1.708571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.96,70,1.694285714,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,71,1.71,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,69,1.687142857,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.88,68,1.662857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.85,68,1.658571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.86,67,1.65,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.95,76,1.752857143,2017,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.79,65,1.62,2017,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.95,65,1.642857143,2017,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.9,69,1.675714286,2017,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.4,68,1.594285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.89,62,1.604285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.47,62,1.544285714,2017,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.38,62,1.531428571,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,7,61,1.61,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.9,63,1.615714286,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,Yes,6.72,71,1.67,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.5,60,1.528571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.67,66,1.612857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.78,67,1.638571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.74,74,1.702857143,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.16,66,1.54,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.83,73,1.705714286,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.68,72,1.674285714,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.5,61,1.538571429,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.65,72,1.67,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.68,72,1.674285714,2017,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,5.85,74,1.575714286,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,Yes,6.94,62,1.611428571,2017,,,,,,,,,,
Local,University of Melbourne,CSP,YES,Yes,5.72,65,1.467142857,2017,,,,,,,,,,
Local,University of Melbourne,FFP,None,Yes,6.65,60,1.55,2017,,,,,,,,,,
Local,University of New England,CSP,None,No,6,96,1.817142857,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.81,61,1.582857143,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.75,60,1.564285714,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.5,63,1.558571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.32,66,1.562857143,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.04,67,1.532857143,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.78,57,1.538571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.85,63,1.608571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.5,63,1.558571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,YES,No,6.52,70,1.631428571,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.5,60,1.528571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.76,62,1.585714286,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.04,60,1.462857143,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.3,65,1.55,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.2,60,1.485714286,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6,61,1.467142857,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,YES,No,6.72,68,1.64,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,YES,No,6.22,65,1.538571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,FFP,YES,No,6.42,63,1.547142857,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,FFP,None,No,5.92,65,1.495714286,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.33,60,1.504285714,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.2,64,1.525714286,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,7,63,1.63,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.27,56,1.455714286,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.81,63,1.602857143,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,YES,Yes,6.29,58,1.478571429,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6,64,1.497142857,2017,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,5.97,56,1.412857143,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,YES,No,6.11,63,1.502857143,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.01,71,1.568571429,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,YES,No,6.8,64,1.611428571,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.22,67,1.558571429,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.94,69,1.681428571,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.38,68,1.591428571,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,YES,No,6.31,65,1.551428571,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.12,62,1.494285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.69,64,1.595714286,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.61,72,1.664285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.79,60,1.57,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,YES,No,6.61,65,1.594285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,5.97,69,1.542857143,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.61,60,1.544285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,YES,No,6.89,60,1.584285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,YES,No,5,63,1.344285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.88,58,1.562857143,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,YES,No,6.96,59,1.584285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.46,60,1.522857143,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.54,69,1.624285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,YES,No,6.68,59,1.544285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.9,60,1.585714286,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.89,62,1.604285714,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.72,64,1.6,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.79,68,1.65,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.91,62,1.607142857,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,5.92,69,1.535714286,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,YES,No,6.09,61,1.48,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.78,63,1.598571429,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.43,63,1.548571429,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.6,65,1.592857143,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.76,65,1.615714286,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,Yes,6.64,58,1.528571429,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,Yes,6.3,60,1.5,2017,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,Yes,5.77,63,1.454285714,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.56,74,1.677142857,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.2,73,1.615714286,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,No,5.21,73,1.474285714,2017,,,,,,,,,,
Local,University of Queensland,BMP,YES,No,7,75,1.75,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6,73,1.587142857,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,No,7,73,1.73,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.55,73,1.665714286,2017,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.23,76,1.65,2017,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.63,81,1.757142857,2017,,,,,,,,,,
Local,University of Queensland,CSP,YES,No,4.33,74,1.358571429,2017,,,,,,,,,,
Local,University of Queensland,FFP,None,No,5.05,74,1.461428571,2017,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.41,66,1.575714286,2017,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6.8,72,1.691428571,2017,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6.22,70,1.588571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,YES,No,6.42,69,1.607142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.1,68,1.551428571,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.57,72,1.515714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.97,71,1.705714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.52,68,1.468571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.08,77,1.638571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.83,75,1.725714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,YES,No,6.72,68,1.64,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.95,68,1.53,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.87,76,1.598571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,YES,No,6.63,81,1.757142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,7,73,1.73,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,72,1.577142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.82,70,1.674285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.02,70,1.56,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.6,71,1.51,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.21,69,1.434285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.75,76,1.724285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.4,76,1.674285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.4,70,1.614285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.98,70,1.697142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.21,71,1.454285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.8,76,1.588571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5,73,1.444285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.83,69,1.665714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.76,75,1.715714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,77,1.627142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,75,1.607142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.64,85,1.655714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.6,68,1.48,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.85,68,1.658571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,7,84,1.84,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.7,72,1.534285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.5,72,1.648571429,2017,,,,,,,,,,
Local,University of Sydney,CSP,YES,No,5.96,68,1.531428571,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.62,70,1.502857143,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.47,80,1.724285714,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.86,72,1.557142857,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5,65,1.364285714,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.67,57,1.522857143,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.83,70,1.675714286,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.78,68,1.648571429,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.85,57,1.405714286,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.5,66,1.445714286,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,7,64,1.64,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,4.56,56,1.211428571,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.3,70,1.6,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.9,67,1.512857143,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.28,61,1.364285714,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.55,70,1.492857143,2017,,,,,,,,,,
Local,University of Sydney,BMP,YES,Yes,6.3,65,1.55,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,4.94,58,1.285714286,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.33,68,1.441428571,2017,,,,,,,,,,
Local,University of Sydney,BMP,YES,Yes,4.96,64,1.348571429,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.2,61,1.352857143,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6,57,1.427142857,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.24,64,1.388571429,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,4.86,63,1.324285714,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.58,60,1.397142857,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.38,60,1.511428571,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,4.8,63,1.315714286,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.19,68,1.421428571,2017,,,,,,,,,,
Local,University of Sydney,BMP,YES,Yes,5.91,64,1.484285714,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.2,57,1.455714286,2017,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.06,60,1.465714286,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6,67,1.527142857,2017,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,5.75,84,1.661428571,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.29,72,1.618571429,2017,,,,,,,,,,
Local,University of Western Australia,BMP,YES,No,6.56,69,1.627142857,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.92,67,1.658571429,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.7,68,1.637142857,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.67,68,1.632857143,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.98,67,1.667142857,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.81,66,1.632857143,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.81,68,1.652857143,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.42,70,1.617142857,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.95,70,1.692857143,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.79,65,1.62,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.7,68,1.637142857,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.96,63,1.624285714,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,7,67,1.67,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.7,68,1.637142857,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,7,70,1.7,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.94,74,1.731428571,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.96,68,1.674285714,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.69,68,1.635714286,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.98,75,1.747142857,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,Yes,6.67,64,1.592857143,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,Yes,6.63,58,1.527142857,2017,,,,,,,,,,
Local,University of Western Australia,BMP,None,Yes,6.5,60,1.528571429,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,Yes,6.95,65,1.642857143,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,Yes,6.94,66,1.651428571,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,Yes,7,62,1.62,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,Yes,6.51,63,1.56,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,Yes,6.52,70,1.631428571,2017,,,,,,,,,,
Local,University of Western Australia,CSP,None,Yes,6.73,61,1.571428571,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,No,6.86,60,1.58,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,No,6.18,61,1.492857143,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,No,6.5,55,1.478571429,2017,,,,,,,,,,
Local,University of Wollongong,CSP,YES,No,6.8,65,1.621428571,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,No,6.5,55,1.478571429,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,No,6.5,55,1.478571429,2017,,,,,,,,,,
Local,University of Wollongong,BMP,None,Yes,6.32,60,1.502857143,2017,,,,,,,,,,
Local,University of Wollongong,BMP,None,Yes,5.5,58,1.365714286,2017,,,,,,,,,,
Local,University of Wollongong,BMP,None,Yes,5.92,57,1.415714286,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,6,57,1.427142857,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,5.92,63,1.475714286,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,5.52,57,1.358571429,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,6.32,59,1.492857143,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,5.98,61,1.464285714,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,6.71,57,1.528571429,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,6.2,57,1.455714286,2017,,,,,,,,,,
Local,University of Wollongong,CSP,None,Yes,6.55,56,1.495714286,2017,,,,,,,,,,
Local,University of Wollongong,FFP,None,Yes,5.5,58,1.365714286,2017,,,,,,,,,,
Local,University of Wollongong,FFP,None,Yes,6.1,63,1.501428571,2017,,,,,,,,,,
Local,University of Wollongong,FFP,None,Yes,6.35,58,1.487142857,2017,,,,,,,,,,
Local,University of Wollongong,Other,None,Yes,6.39,62,1.532857143,2017,,,,,,,,,,
Local,University of Wollongong,Other,None,Yes,6.4,58,1.494285714,2017,,,,,,,,,,
Local,University of Wollongong,Other,None,Yes,6.35,62,1.527142857,2017,,,,,,,,,,
Local,University of Wollongong,Other,None,Yes,5.58,59,1.387142857,2017,,,,,,,,,,
International,Australian National University,FFP,None,No,7,64,1.64,2017,,,,,,,,,,
International,Griffith University,CSP,YES,No,6.75,66,1.624285714,2017,,,,,,,,,,
International,Griffith University,FFP,None,No,6.9,66,1.645714286,2017,,,,,,,,,,
International,University of Melbourne,FFP,None,No,6.47,58,1.504285714,2017,,,,,,,,,,
International,University of Melbourne,FFP,None,No,6.65,63,1.58,2017,,,,,,,,,,
International,University of Melbourne,FFP,None,No,6.29,65,1.548571429,2017,,,,,,,,,,
International,University of Melbourne,FFP,None,No,6.1,63,1.501428571,2017,,,,,,,,,,
International,University of Sydney,CSP,None,No,5.6,73,1.53,2017,,,,,,,,,,
International,University of Sydney,FFP,None,No,6.61,68,1.624285714,2017,,,,,,,,,,
Local,Australian National University,BMP,Honours,No,6.78,66,1.628571428,2016,1.661142857,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.68,66,1.614285714,2016,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.7,66,1.617142857,2016,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.8,66,1.631428571,2016,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.98,66,1.657142857,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.25,66,1.552857142,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.31,68,1.581428571,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.38,68,1.591428571,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.79,64,1.61,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.6,68,1.622857142,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.83,65,1.625714285,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.7,67,1.627142857,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.7,69,1.647142857,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.96,69,1.684285714,2016,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.96,69,1.684285714,2016,,,,,,,,,,
