,Timestamp,Rurality,University,Final Combo,GPA,GAMSAT,Raw Combo,CASPer Quartile,ANU Bonuses,Deakin Bonus,MQ Bonus,Deakin RTS Tier,Unimelb GAM,UNDF Bonuses,UNDS Bonuses,UQ MP/RMP Tier + Location,UoW Bonuses,Notes,Outlier
65,30/08/2024 11:30:54,Non-Rural,Griffith University,1.64457142857143,6.927,65.5,1.64457142857143,N/A,0,0,0,,,,,,,0,
66,04/09/2024 16:14:14,Non-Rural,Macquarie University,1.79392857142857,6.87,81.25,1.79392857142857,N/A,0,0,0,,,,,,,0,
67,31/08/2024 14:27:25,Non-Rural,Macquarie University,1.67587142857143,6.87,66.5,1.64642857142857,N/A,0,0,3,,,,,,,0,
68,30/08/2024 11:37:11,Non-Rural,Macquarie University,1.65642857142857,6.625,71,1.65642857142857,1st,0,0,0,,,,,,,0,
69,30/08/2024 11:30:14,Non-Rural,Macquarie University,1.6525,7,65.25,1.6525,3rd,0,0,0,,,,None,,,0,
70,30/08/2024 11:26:32,Non-Rural,Macquarie University,1.6475,7,64.75,1.6475,3rd,0,0,0,,,,,,,2,
71,30/08/2024 11:30:45,Non-Rural,Macquarie University,1.64285714285714,6.67,69,1.64285714285714,3rd,0,0,0,,,,None,,,0,
72,30/08/2024 19:12:51,Non-Rural,Macquarie University,1.63885714285714,6.887,65.5,1.63885714285714,2nd,0,0,0,,,,,,,0,
73,30/08/2024 12:03:16,Non-Rural,Macquarie University,1.63585714285714,6.901,65,1.63585714285714,3rd,0,0,0,,,,,,,0,
74,31/08/2024 17:47:50,Non-Rural,Macquarie University,1.63578571428571,6.813,66.25,1.63578571428571,3rd,0,2,0,Did not apply,,None,None,,,0,
75,01/09/2024 09:56:08,Non-Rural,Macquarie University,1.625,6.65,67.5,1.625,3rd,0,0,0,,No,,,,,0,
76,03/09/2024 12:36:57,Non-Rural,Macquarie University,1.62235714285714,6.719,66.25,1.62235714285714,4th,0,0,0,,,,,,,1,
77,30/08/2024 16:37:39,Non-Rural,Macquarie University,1.61642857142857,6.8,64.5,1.61642857142857,2nd,0,0,0,,,,,,,1,
78,30/08/2024 13:41:06,Non-Rural,Macquarie University,1.61392857142857,6.45,69.25,1.61392857142857,2nd,0,0,0,,,None,None,,,0,
79,30/08/2024 13:01:59,Non-Rural,Macquarie University,1.61227857142857,6.115,71.25,1.58607142857143,N/A,0,0,3,,,,,,,0,
80,30/08/2024 12:44:57,Non-Rural,The University of Melbourne,1.8023,6.713,84.33,1.8023,N/A,0,0,0,,No,,,,,0,
81,31/08/2024 00:30:27,Non-Rural,The University of Melbourne,1.79142857142857,6.8,82,1.79142857142857,N/A,0,0,0,,No,,,,,0,
82,04/09/2024 11:53:17,Non-Rural,The University of Melbourne,1.78142857142857,6.94,79,1.78142857142857,N/A,0,0,0,,No,,,,,0,
83,31/08/2024 10:05:20,Non-Rural,The University of Melbourne,1.78,7,78,1.78,N/A,0,0,0,,No,,,,,0,
84,24/09/2024 11:39:48,Non-Rural,The University of Melbourne,1.7767,7,77.67,1.7767,N/A,0,0,0,,No,,,,,0,
85,30/08/2024 15:31:06,Non-Rural,The University of Melbourne,1.77044285714286,6.84,79.33,1.77044285714286,N/A,0,0,0,,No,,,,,0,
86,30/08/2024 17:41:43,Non-Rural,The University of Melbourne,1.7633,7,76.33,1.7633,N/A,0,0,0,,No,,,,,0,
87,03/09/2024 10:26:50,Non-Rural,The University of Melbourne,1.75498571428571,6.988,75.67,1.75498571428571,4th,0,0,0,,No,,,,,0,
88,30/08/2024 17:16:47,Non-Rural,The University of Melbourne,1.74955714285714,6.81,77.67,1.74955714285714,N/A,0,0,0,,No,,,,,0,
89,30/08/2024 12:58:32,Non-Rural,The University of Melbourne,1.7433,7,74.33,1.7433,N/A,0,0,0,,No,,,,,0,
90,30/08/2024 23:04:17,Non-Rural,The University of Melbourne,1.7433,7,74.33,1.7433,N/A,0,0,0,,No,,,,,0,
91,01/09/2024 20:38:48,Non-Rural,The University of Melbourne,1.74214285714286,6.875,76,1.74214285714286,4th,0,0,0,,No,,,,,0,
92,30/08/2024 15:10:08,Non-Rural,The University of Melbourne,1.74,6.3,84,1.74,N/A,0,0,0,,No,,,,,0,
93,31/08/2024 22:12:21,Non-Rural,The University of Melbourne,1.73715714285714,6.677,78.33,1.73715714285714,4th,0,0,0,,No,,,,,0,
94,30/08/2024 22:45:16,Non-Rural,The University of Melbourne,1.73571428571429,6.9,75,1.73571428571429,N/A,0,0,0,,No,,,,,0,
95,02/09/2024 10:02:38,Non-Rural,The University of Melbourne,1.7333,7,73.33,1.7333,N/A,0,0,0,,No,,,,,0,
96,30/08/2024 12:49:42,Non-Rural,The University of Melbourne,1.73,7,73,1.73,N/A,0,0,0,,No,,,,,0,
97,30/08/2024 15:16:38,Non-Rural,The University of Melbourne,1.72901428571429,6.83,75.33,1.72901428571429,N/A,0,0,0,,No,,,,,0,
98,30/08/2024 12:39:24,Non-Rural,The University of Melbourne,1.7283,6.895,74.33,1.7283,N/A,0,0,0,,No,,,,,0,
99,30/08/2024 13:11:53,Non-Rural,The University of Melbourne,1.72615714285714,6.95,73.33,1.72615714285714,N/A,0,0,0,,No,,,,,0,
100,30/08/2024 12:39:52,Non-Rural,The University of Melbourne,1.72027142857143,6.955,72.67,1.72027142857143,N/A,0,0,0,,No,,,,,0,
101,30/08/2024 12:55:59,Non-Rural,The University of Melbourne,1.71701428571429,6.746,75.33,1.71701428571429,4th,0,0,0,,No,,,,,0,
102,30/08/2024 13:17:55,Non-Rural,The University of Melbourne,1.71701428571429,6.886,73.33,1.71701428571429,N/A,0,0,0,,Yes,,,,,0,
103,31/08/2024 11:53:30,Non-Rural,The University of Melbourne,1.71612857142857,6.786,74.67,1.71612857142857,N/A,0,0,0,,Yes,,,,,0,
104,31/08/2024 04:13:35,Non-Rural,The University of Melbourne,1.71541428571429,6.641,76.67,1.71541428571429,N/A,0,0,0,,No,,,,,0,
105,30/08/2024 14:01:54,Non-Rural,The University of Melbourne,1.71444285714286,6.938,72.33,1.71444285714286,N/A,0,0,0,,Yes,,,,,0,
106,31/08/2024 08:01:16,Non-Rural,The University of Melbourne,1.71342857142857,6.814,74,1.71342857142857,N/A,0,0,0,,No,,,,,0,
