,Rurality,University,GPA,GAMSAT,Final Combo Score,Raw Combo Score,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,
115,Non-Rural,Deakin University,6.65,65.75,1.70395,1.6075,6,2,0,thought I had a strong portfolio,
116,Non-Rural,Deakin University,6.583,66.5,1.66964571428571,1.60542857142857,4,0,0,-,
117,Non-Rural,Deakin University,6.7,64.5,1.60214285714286,1.60214285714286,0,0,0,-,
118,Non-Rural,Deakin University,6.396,68.75,1.69728714285714,1.60121428571429,6,2,0,-,
119,Non-Rural,Deakin University,6.82,62.5,1.63127142857143,1.59928571428571,2,0,0,-,
120,Non-Rural,Deakin University,6.724,63.25,1.65679428571429,1.59307142857143,4,0,0,-,
121,Non-Rural,Deakin University,7,59.25,1.5925,1.5925,0,0,0,WA resident,
122,Non-Rural,Deakin University,6.626,64.25,1.62085285714286,1.58907142857143,2,0,0,I assumed my portfolio was good to at least get an interview offer.,
123,Non-Rural,Deakin University,6.292,69,1.62063428571429,1.58885714285714,2,0,0,GAM,
124,Non-Rural,Deakin University,6.64,64,1.62034285714286,1.58857142857143,2,0,0,-,
125,Non-Rural,Deakin University,6.4,67.25,1.61852142857143,1.58678571428571,2,0,0,-,
126,Non-Rural,Deakin University,5.539,79.25,1.64713714285714,1.58378571428571,4,2,0,-,
127,Non-Rural,Deakin University,6.73,61.75,1.67366428571429,1.57892857142857,6,0,0,Strong portfolio,
128,Non-Rural,Deakin University,6.615,62,1.5963,1.565,2,2,0,Above average portfolio,
129,Non-Rural,Deakin University,6.599,62,1.62522285714286,1.56271428571429,4,0,0,-,
130,Non-Rural,Deakin University,6.48,63.5,1.56071428571429,1.56071428571429,0,2,0,above average portfolio,
131,Non-Rural,Deakin University,6.014,69.75,1.55664285714286,1.55664285714286,0,0,0,-,
132,Non-Rural,Deakin University,6.583,61.5,1.55542857142857,1.55542857142857,0,2,0,-,
133,Non-Rural,Deakin University,6.313,63,1.53185714285714,1.53185714285714,0,0,0,-,
134,Non-Rural,Deakin University,6.229,63.25,1.58325142857143,1.52235714285714,4,0,0,-,
135,Non-Rural,Deakin University,6,65.75,1.54493571428571,1.51464285714286,2,0,0,-,
136,Non-Rural,Deakin University,5.6,63,1.43,1.43,0,0,0,-,
137,Non-Rural,Griffith University,6,85,1.70714285714286,1.70714285714286,0,0,0,Studied in UK so GPA calculation is a conversion from a UK Masters degree,
138,Non-Rural,Griffith University,6.57,73.75,1.67607142857143,1.67607142857143,0,0,0,-,
139,Non-Rural,Griffith University,6.913,68.5,1.67257142857143,1.67257142857143,0,0,0,-,
140,Non-Rural,Griffith University,6.354,75.75,1.66521428571429,1.66521428571429,2,0,0,-,
141,Non-Rural,Griffith University,6.896,68,1.66514285714286,1.66514285714286,0,0,0,-,
142,Non-Rural,Griffith University,6.741,70,1.663,1.663,0,0,0,-,
143,Non-Rural,Griffith University,6.417,74.5,1.66171428571429,1.66171428571429,2,0,0,-,
144,Non-Rural,Griffith University,6.938,67,1.66114285714286,1.66114285714286,2,0,0,-,
145,Non-Rural,Griffith University,7,66,1.66,1.66,2,0,0,-,
146,Non-Rural,Griffith University,6.927,67,1.65957142857143,1.65957142857143,0,0,0,Thought I had a good portfolio but guess not?,
147,Non-Rural,Griffith University,6.767,69.25,1.65921428571429,1.65921428571429,0,0,0,-,
148,Non-Rural,Griffith University,6.84,68,1.65714285714286,1.65714285714286,4,2,0,-,
149,Non-Rural,Griffith University,6.944,66.5,1.657,1.657,4,0,0,-,
150,Non-Rural,Griffith University,6.979,66,1.657,1.657,2,0,0,-,
151,Non-Rural,Griffith University,7,65.5,1.655,1.655,4,4,0,"Strong protfolio submitted to UOW (i.e. community engagement, leadership, research contributions etc), but still no offer because GPA is based on a degree I did nearly 10 years ago.",
