,Timestamp,Rurality,University,Final Combo,GPA,GAMSAT,Raw Combo,CASPer Quartile,ANU Bonuses,Deakin Bonus,MQ Bonus,Deakin RTS Tier,Unimelb GAM,UNDF Bonuses,UNDS Bonuses,UQ MP/RMP Tier + Location,UoW Bonuses,Notes,Outlier
60,31/08/2024 20:47:50,Non-Rural,Deakin University,1.6411,6.36,73.25,1.6411,2nd,0,0,0,Did not apply,No,None,None,,,0,
61,30/08/2024 19:01:21,Non-Rural,Deakin University,1.64107142857143,6.85,66.25,1.64107142857143,N/A,0,0,0,Did not apply,,,,,,0,
62,31/08/2024 10:46:30,Non-Rural,Deakin University,1.64,7,64,1.64,N/A,0,0,0,Did not apply,No,,,,,0,
63,30/08/2024 15:40:25,Non-Rural,Deakin University,1.6397,6.823,66.5,1.6397,4th,0,0,0,Did not apply,No,,None,,,0,N/A
64,30/08/2024 19:22:06,Non-Rural,Deakin University,1.635876,6.799,63.25,1.6038,4th,0,2,0,Did not apply,,None,None,,,0,
65,30/08/2024 11:40:39,Non-Rural,Deakin University,1.632,6.979,63.5,1.632,4th,0,0,0,Did not apply,No,,None,,,0,
66,05/09/2024 08:59:01,Non-Rural,Deakin University,1.62907142857143,6.521,69.75,1.62907142857143,4th,0,0,0,Did not apply,,,,,,0,
67,30/08/2024 11:34:35,Non-Rural,Deakin University,1.6289,6.59,68.75,1.6289,4th,0,0,0,Did not apply,No,WA Res,,,,0,
68,04/09/2024 13:48:02,Non-Rural,Deakin University,1.6264,6.677,67.25,1.6264,3rd,0,0,0,Did not apply,No,,,,,0,
69,30/08/2024 11:40:28,Non-Rural,Deakin University,1.62574285714286,6.83,58.75,1.56321428571429,4th,0,4,0,Did not apply,,,,,,0,
70,30/08/2024 15:52:27,Non-Rural,Deakin University,1.6235,6.902,63.75,1.6235,4th,0,0,0,Did not apply,No,,None,,,0,
71,30/08/2024 11:31:38,Non-Rural,Deakin University,1.623024,6.781,62.25,1.5912,1st,0,2,0,Did not apply,Yes,,,Tier 3,Rockhampton,1,
72,02/09/2024 15:17:11,Non-Rural,Deakin University,1.6221,6.7,66.5,1.6221,N/A,0,0,0,Did not apply,No,,,Tier 3,Toowoomba,0,
73,30/08/2024 13:56:21,Non-Rural,Deakin University,1.621776,6.313,65.75,1.5594,4th,0,4,0,Did not apply,,,None,,,2,
74,30/08/2024 11:41:17,Non-Rural,Deakin University,1.6211,6.308,72,1.6211,4th,0,0,0,Did not apply,Yes,,None,,,0,I'm sad :(
75,30/08/2024 16:35:31,Non-Rural,Deakin University,1.6196,6.7,66.25,1.6196,3rd,0,0,0,Did not apply,Yes,,None,,,0,
76,30/08/2024 12:26:47,Non-Rural,Deakin University,1.61757142857143,6.458,69.5,1.61757142857143,4th,0,0,0,Did not apply,,,None,,,0,
77,01/09/2024 12:19:32,Non-Rural,Deakin University,1.6113,6.729,65,1.6113,4th,0,0,0,Did not apply,No,,None,,,0,
78,02/09/2024 12:48:48,Non-Rural,Deakin University,1.607216,6.25,65.25,1.5454,2nd,0,4,0,Did not apply,No,,None,,,3,
79,30/08/2024 12:34:06,Non-Rural,Deakin University,1.59914285714286,6.854,62,1.59914285714286,4th,2,0,0,Did not apply,,None,None,,,0,My GPA is really hard to calculate so not sure
80,30/08/2024 14:15:16,Non-Rural,Deakin University,1.5925,6.3,69.25,1.5925,N/A,2,0,0,Did not apply,No,,,,,0,
81,30/08/2024 12:17:26,Non-Rural,Deakin University,1.5833,6.708,62.5,1.5833,2nd,0,0,0,Did not apply,No,,,,,0,
82,30/08/2024 11:31:10,Non-Rural,Deakin University,1.5811,6.5,65.25,1.5811,4th,0,0,0,Did not apply,No,None,None,,,0,
83,30/08/2024 16:07:56,Non-Rural,Deakin University,1.576002,6.108,67.25,1.5451,3rd,0,2,0,Did not apply,No,HDR,HDR,,,2,
84,30/08/2024 11:26:57,Non-Rural,Deakin University,1.567384,6.35,60,1.5071,2nd,0,4,0,Did not apply,Yes,None,None,,,0,
85,30/08/2024 12:33:40,Non-Rural,Deakin University,1.56357142857143,6.5,63.5,1.56357142857143,1st,0,0,0,Did not apply,,,None,,,0,
