,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
758,Rural,62,54,80,10,0,0,,Yes,Deakin University,6.346,69.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
759,Non-Rural,61,57,80,0,0,0,,Yes,Griffith University,6.885,69.5,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
760,Non-Rural,76,68,71,0,0,0,,Yes,The University of Western Australia,6.95,71.5,,,,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
761,Rural,55,61,64,10,0,0,"wa resident, mm5",Yes,The University of Western Australia,7.0,61.0,,,,,,,,,,,,,,,,,,"
",2023,,1st,,,,,
762,Non-Rural,65,79,62,2,0,0,,Yes,The University of Notre Dame Sydney,6.969,68.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
763,Non-Rural,67,66,82,0,2,0,above average - strong portfolio,Yes,The University of Notre Dame Sydney,6.97,71.67,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
764,Non-Rural,71,76,59,0,0,0,,Yes,The University of Queensland (Metro),7.0,68.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
765,Non-Rural,53,72,79,0,0,0,,Yes,The University of Melbourne,7.0,68.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
766,Non-Rural,63,53,84,0,0,0,,Yes,Macquarie University,6.53,71.0,,,,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
767,Non-Rural,69,61,71,0,0,0,strong portfolio,Yes,The University of Notre Dame Sydney,6.849,67.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
768,Non-Rural,75,66,74,0,0,0,below average portfolio,Yes,The University of Notre Dame Fremantle,6.625,71.67,The University of Wollongong,5.5,72.25,The University of Melbourne,5.705,71.67,The University of Notre Dame Sydney,6.625,71.67,Deakin University,6.844,72.25,,,,,,"
",2023,,2nd,,,,,
769,Non-Rural,58,66,75,0,2,0,,No,,,,The University of Western Australia,6.719,68.5,The University of Notre Dame Fremantle,6.736,66.33,The University of Queensland (Metro),7.0,66.33,The University of Notre Dame Sydney,6.736,66.33,Australian National University,6.736,68.5,Griffith University,6.576,"68.5
",2023,,2nd,,,,,
770,Non-Rural,54,73,81,0,0,0,,Yes,Griffith University,6.914,72.25,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
771,Non-Rural,56,70,73,0,0,0,,Yes,The University of Queensland (RMP),6.984,66.33,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,3rd,,,,,
772,Non-Rural,51,73,84,0,0,0,,Yes,Deakin University,6.78,73.0,The University of Melbourne,6.78,69.33,,,,,,,,,,,,,,,"
",2023,,,,,,,
773,Non-Rural,65,59,73,0,0,0,,Yes,The University of Notre Dame Sydney,6.895,65.67,Griffith University,6.895,67.5,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
774,Non-Rural,62,76,77,0,0,0,no bonuses,Yes,The University of Melbourne,6.95,71.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
775,Non-Rural,62,71,60,0,0,0,,No,,,,Griffith University,6.51,63.25,The University of Queensland (Metro),6.97,64.33,The University of Notre Dame Sydney,6.807,64.33,The University of Notre Dame Fremantle,6.807,64.33,,,,,,"
",2023,,2nd,,,,,
776,Non-Rural,59,72,69,0,0,3,,Yes,Macquarie University,7.0,67.25,The University of Notre Dame Sydney,6.813,66.67,Australian National University,6.813,67.25,,,,,,,,,,,,"
",2023,,2nd,,,,,
777,Non-Rural,64,76,59,0,0,3,strong portfolio,Yes,The University of Notre Dame Sydney,6.962,66.33,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
778,Rural,55,59,62,0,0,0,,Yes,Griffith University,6.656,59.5,,,,,,,,,,,,,,,,,,"
",2023,Tier 2,,,,,,
779,Rural,58,70,55,8,0,0,,Yes,The University of Western Australia,6.8,59.5,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
780,Non-Rural,78,68,72,6,0,0,,Yes,The University of Western Australia,6.96,72.5,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
781,Non-Rural,72,68,80,2,0,0,,Yes,The University of Melbourne,6.875,73.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
782,Non-Rural,71,71,70,2,0,0,,Yes,The University of Queensland (Metro),7.0,70.67,,,,,,,,,,,,,,,,,,"
",2023,,1st,,,,,
783,Non-Rural,63,81,70,0,0,0,,Yes,The University of Melbourne,6.988,71.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
784,Non-Rural,58,75,63,0,0,3,,Yes,Macquarie University,6.9,64.75,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
785,Rural,52,54,78,8,0,0,deakin rts tier 1,Yes,Deakin University,6.958,65.5,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
786,Non-Rural,66,75,91,0,0,0,,Yes,Deakin University,6.865,80.75,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
787,Non-Rural,64,60,73,2,0,0,,Yes,The University of Queensland (RMP),6.88,65.67,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
788,Non-Rural,59,68,70,0,0,0,,Yes,The University of Notre Dame Sydney,6.89,65.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
789,Non-Rural,67,63,66,0,0,0,pretty strong portfolio in most areas imo,Yes,The University of Wollongong,5.5,65.5,The University of Melbourne,6.052,65.33,The University of Notre Dame Fremantle,6.142,65.33,Griffith University,6.005,65.5,The University of Notre Dame Sydney,6.142,65.33,Deakin University,6.142,65.5,,,"
",2023,,4th,,,,,
790,Non-Rural,70,66,83,0,0,0,,Yes,The University of Melbourne,6.85,73.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
791,Non-Rural,62,70,66,2,2,0,,Yes,The University of Queensland (RMP),7.0,66.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
792,Non-Rural,71,59,69,0,0,0,,No,,,,Griffith University,6.3,67.0,The University of Notre Dame Sydney,6.3,66.33,The University of Notre Dame Fremantle,6.3,66.33,The University of Wollongong,5.5,67.0,The University of Western Australia,6.3,67.0,Australian National University,6.3,"67
",2023,,1st,,,,,
793,Non-Rural,56,78,61,6,0,0,,Yes,Deakin University,7.0,64.0,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
794,Non-Rural,67,72,76,4,0,0,gam,Yes,Deakin University,6.487,72.75,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
795,Non-Rural,64,61,70,8,0,0,,Yes,Deakin University,6.854,66.25,The University of Melbourne,6.875,65.0,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
796,Non-Rural,65,65,73,0,0,0,,Yes,The University of Queensland (RMP),6.48,67.67,The University of Melbourne,6.7,67.67,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
797,Rural,62,71,81,0,0,0,,Yes,The University of Melbourne,6.754,71.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
798,Non-Rural,63,71,65,0,0,0,,Yes,The University of Notre Dame Fremantle,6.51,66.33,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
799,Rural,64,79,52,12,0,0,,Yes,Deakin University,6.616,61.75,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
800,Rural,67,78,73,8,0,0,,Yes,The University of Melbourne,6.25,72.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
801,Non-Rural,70,86,64,0,2,0,,Yes,The University of Queensland (RMP),7.0,73.33,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
802,Rural,56,57,74,12,4,0,deakin rts,Yes,Deakin University,6.604,65.25,,,,,,,,,,,,,,,,,,"
",2023,Tier 2,,,,,,
803,Non-Rural,60,77,65,2,0,0,wa residency bonus,Yes,The University of Notre Dame Fremantle,6.664,67.33,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
804,Rural,66,74,64,10,0,0,gam,Yes,Griffith University,6.688,67.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 2,,,,,,
805,Non-Rural,63,66,65,0,0,0,,Yes,The University of Western Australia,6.958,64.75,Griffith University,6.958,64.75,The University of Queensland (Metro),6.958,64.67,The University of Notre Dame Sydney,6.969,64.67,,,,,,,,,"
",2023,,1st,,,,,
806,Non-Rural,63,66,71,0,0,3,i did the healthscigraddip at unds potentially giving me straight entry to interview,Yes,The University of Notre Dame Sydney,6.3,66.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
807,Non-Rural,65,70,75,0,0,0,,Yes,The University of Melbourne,6.83,70.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
808,Non-Rural,82,68,66,0,0,0,,Yes,The University of Queensland (RMP),7.0,72.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
809,Rural,54,62,53,0,0,0,,Yes,The University of Queensland (RMP),6.706,56.33,,,,,,,,,,,,,,,,,,"
",2023,Tier 1 (CQ-WB RMP),,,,,,
810,Non-Rural,63,64,75,0,2,0,,Yes,Griffith University,6.844,69.25,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
811,Non-Rural,69,66,99,0,0,0,,Yes,The University of Western Australia,7.0,83.25,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
812,Non-Rural,58,72,68,0,0,0,no wa residency or hdr bonus.,Yes,The University of Notre Dame Fremantle,6.979,66.0,Griffith University,6.958,66.5,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
813,Non-Rural,69,64,65,0,0,0,,Yes,The University of Queensland (RMP),7.0,66.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
814,Non-Rural,56,67,68,4,2,0,average to below average portfolio for uow,Yes,The University of Notre Dame Sydney,6.728,63.67,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,4th,,,,,
815,Non-Rural,67,70,57,2,0,0,"honours final year, strong portfolio as per rejection email from uow",No,,,,The University of Notre Dame Sydney,6.25,64.67,The University of Wollongong,5.5,62.75,The University of Queensland (Metro),7.0,64.67,The University of Notre Dame Fremantle,6.2,64.67,Griffith University,5.96,62.75,Deakin University,6.62,"62.75
",2023,,4th,,,,,
816,Non-Rural,63,64,79,2,0,0,none,Yes,Deakin University,6.833,71.25,The University of Melbourne,6.875,68.67,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
817,Rural,53,68,74,8,0,0,,Yes,The University of Melbourne,6.958,65.0,,,,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
818,Non-Rural,62,63,78,0,0,0,,Yes,Griffith University,6.755,70.25,The University of Queensland (Metro),6.55,67.67,,,,,,,,,,,,,,,"
",2023,,,,,,,
819,Non-Rural,60,73,88,0,0,0,"(unsure what is happening re uq here, could potentially be prereq related? have contacted applicant -luke)",Yes,Griffith University,6.95,77.25,The University of Queensland (Metro),6.94,73.67,,,,,,,,,,,,,,,"
",2023,,,,,,,
820,Rural,63,73,69,8,0,0,gam,Yes,The University of Melbourne,6.6,68.33,,,,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
821,Non-Rural,67,73,73,2,0,0,,Yes,The University of Melbourne,6.98,71.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
822,Non-Rural,58,56,52,2,0,0,,No,,,,The University of Notre Dame Sydney,5.8,55.33,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
823,Non-Rural,62,66,77,6,0,0,,Yes,Deakin University,6.49,70.5,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
824,Non-Rural,64,68,84,2,0,0,,Yes,Deakin University,6.654,75.0,The University of Melbourne,6.6,72.0,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
825,Non-Rural,67,65,77,0,0,0,,Yes,The University of Queensland (RMP),6.646,69.67,Griffith University,6.646,71.5,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
826,Rural,71,81,70,8,0,0,,Yes,Deakin University,6.44,73.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
827,Rural,66,73,77,4,0,0,,Yes,The University of Melbourne,6.3,72.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
828,Non-Rural,57,66,85,0,2,0,,Yes,Deakin University,7.0,73.25,The University of Melbourne,6.877,69.33,,,,,,,,,,,,,,,"
",2023,,,,,,,
829,Rural,55,60,64,0,0,0,,Yes,The University of Queensland (RMP),6.625,59.67,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
830,Non-Rural,67,81,77,0,0,0,,Yes,The University of Melbourne,7.0,75.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
831,Non-Rural,64,74,69,0,0,3,b.clinsci graduate,Yes,Macquarie University,6.646,69.0,Australian National University,6.646,69.0,The University of Melbourne,6.531,69.0,,,,,,,,,,,,"
",2023,,3rd,,,,,
832,Rural,58,55,59,0,0,0,,Yes,The University of Queensland (RMP),6.89,57.33,,,,,,,,,,,,,,,,,,"
",2023,Tier 2,,,,,,
833,Non-Rural,62,81,75,0,0,0,,Yes,The University of Melbourne,6.875,72.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
834,Non-Rural,61,65,78,0,0,0,,Yes,The University of Notre Dame Sydney,6.84,68.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
835,Non-Rural,69,67,73,0,0,0,,No,,,,The University of Western Australia,6.302,70.5,The University of Notre Dame Fremantle,6.333,69.67,Australian National University,6.333,70.5,,,,,,,,,"
",2023,,,,,,,
836,Rural,66,72,69,0,0,0,,Yes,The University of Melbourne,6.8,69.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
837,Rural,78,76,78,0,0,0,,Yes,The University of Melbourne,7.0,77.33,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
838,Non-Rural,51,56,55,0,0,0,,No,,,,The University of Notre Dame Fremantle,6.69,54.0,,,,,,,,,,,,,,,"
",2023,,,,,,,
839,Non-Rural,59,81,55,0,0,0,wa resident,Yes,The University of Notre Dame Fremantle,6.88,65.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
840,Non-Rural,59,61,73,0,0,0,,Yes,Macquarie University,6.78,66.5,The University of Notre Dame Sydney,6.78,64.33,,,,,,,,,,,,,,,"
",2023,,1st,,,,,
841,Non-Rural,55,73,69,4,0,0,,Yes,The University of Queensland (RMP),7.0,65.67,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,4th,,,,,
842,Non-Rural,57,59,76,0,0,0,,No,,,,The University of Queensland (Metro),6.781,64.0,The University of Melbourne,6.788,64.0,Griffith University,6.771,67.0,Deakin University,6.771,67.0,Macquarie University,6.771,67.0,,,"
",2023,,,,,,,
843,Non-Rural,51,69,82,0,2,0,,Yes,Australian National University,6.52,71.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
844,Non-Rural,66,82,82,4,0,0,,Yes,The University of Notre Dame Sydney,6.896,76.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
845,Rural,62,62,59,12,2,3,,Yes,Australian National University,6.1,60.5,Deakin University,6.1,60.5,The University of Melbourne,6.1,61.0,,,,,,,,,,,,"
",2023,,,,,,,
846,Non-Rural,68,80,74,2,0,0,,Yes,Deakin University,6.625,74.0,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
847,Non-Rural,66,73,75,0,2,0,,Yes,The University of Melbourne,6.96,71.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
848,Non-Rural,56,66,67,0,0,0,,Yes,The University of Queensland (RMP),7.0,63.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,4th,,,,,
849,Non-Rural,65,58,86,0,0,0,,Yes,Griffith University,6.64,73.75,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
850,Non-Rural,66,76,64,0,0,0,portfolio was pretty strong,Yes,The University of Wollongong,5.5,67.5,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
851,Non-Rural,58,65,64,0,0,0,above avg. portfolio for uow,No,,,,Griffith University,6.5,62.75,The University of Notre Dame Sydney,6.506,62.33,The University of Queensland (Metro),6.083,62.33,The University of Wollongong,5.5,62.75,Deakin University,6.521,62.75,The University of Notre Dame Fremantle,6.506,"62.33
",2023,Tier 3,3rd,,,,,
852,Non-Rural,71,67,73,0,0,0,wa resident,Yes,The University of Melbourne,6.963,70.33,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
853,Non-Rural,58,82,69,0,0,0,,Yes,The University of Melbourne,7.0,69.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
854,Non-Rural,59,71,67,2,2,0,,Yes,The University of Queensland (RMP),7.0,65.67,The University of Notre Dame Sydney,6.917,65.67,Australian National University,6.917,66.0,,,,,,,,,,,,"
",2023,Tier 3,2nd,,,,,
855,Non-Rural,74,75,58,0,0,0,portfolio probably below average - average.,Yes,The University of Notre Dame Sydney,6.703,69.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
856,Non-Rural,63,73,70,6,2,0,strong portfolio,Yes,The University of Wollongong,5.5,69.0,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
857,Non-Rural,60,74,65,0,0,0,,Yes,The University of Notre Dame Sydney,6.28,66.33,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
858,Rural,59,53,69,10,0,0,mature aged student,Yes,The University of Melbourne,6.96,60.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
859,Non-Rural,70,74,73,2,0,0,,Yes,The University of Western Australia,6.854,72.5,Griffith University,6.292,72.5,The University of Queensland (Metro),6.0,72.33,,,,,,,,,,,,"
",2023,,,,,,,
860,Non-Rural,66,72,68,0,0,0,,Yes,The University of Western Australia,6.902,68.5,,,,,,,,,,,,,,,,,,"
",2023,,1st,,,,,
861,Non-Rural,71,73,53,2,0,0,gam,Yes,The University of Notre Dame Sydney,6.5,65.67,The University of Melbourne,6.5,65.67,Deakin University,6.5,62.5,,,,,,,,,,,,"
",2023,,4th,,,,,
862,Rural,69,62,52,0,0,0,mm3,Yes,The University of Western Australia,6.66,58.75,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
863,Non-Rural,68,90,73,0,2,0,,Yes,The University of Melbourne,6.73,77.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
864,Non-Rural,61,65,64,2,0,0,above average portfolio,Yes,The University of Notre Dame Fremantle,6.885,63.33,The University of Wollongong,5.5,63.5,Deakin University,6.885,63.5,The University of Notre Dame Sydney,6.885,63.33,,,,,,,,,"
",2023,,4th,,,,,
865,Non-Rural,53,66,90,0,0,0,,Yes,The University of Melbourne,7.0,69.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
866,Non-Rural,62,68,73,0,0,0,honours first class,Yes,The University of Queensland (Metro),7.0,67.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
867,Non-Rural,60,78,84,0,0,0,,Yes,The University of Queensland (Metro),6.53,74.0,,,,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
868,Non-Rural,58,69,50,0,0,0,,No,,,,The University of Notre Dame Sydney,6.125,59.0,Macquarie University,6.125,56.75,The University of Notre Dame Fremantle,6.125,59.0,Griffith University,6.125,56.75,Australian National University,6.125,56.75,,,"
",2023,,2nd,,,,,
869,Rural,58,55,64,0,2,0,,Yes,Australian National University,6.5,60.25,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
870,Non-Rural,59,65,66,0,0,0,,No,,,,The University of Queensland (Metro),7.0,63.33,Griffith University,6.917,64.0,Australian National University,6.958,64.0,The University of Western Australia,6.917,64.0,Deakin University,6.938,64.0,,,"
",2023,,,,,,,
871,Non-Rural,71,71,73,0,0,0,,Yes,The University of Melbourne,6.94,71.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
872,Non-Rural,64,73,72,0,2,0,,Yes,Australian National University,6.967,70.25,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
873,Non-Rural,58,76,64,0,2,0,average portfolio,Yes,The University of Queensland (RMP),7.0,66.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,4th,,,,,
874,Non-Rural,65,57,79,2,0,0,,Yes,The University of Queensland (RMP),6.89,67.0,The University of Melbourne,6.89,67.0,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
875,Non-Rural,62,67,62,4,0,0,good portfolio,Yes,The University of Notre Dame Fremantle,6.77,63.67,Griffith University,6.64,63.25,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
876,Non-Rural,60,77,62,4,0,0,,Yes,The University of Notre Dame Fremantle,6.44,66.33,Deakin University,6.44,65.25,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
877,Non-Rural,71,67,82,0,0,0,,Yes,The University of Melbourne,6.8,73.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
878,Non-Rural,70,74,64,2,0,0,,Yes,The University of Western Australia,6.952,68.0,The University of Notre Dame Sydney,6.812,69.33,Deakin University,6.818,68.0,The University of Melbourne,6.794,69.33,,,,,,,,,"
",2023,,2nd,,,,,
879,Rural,62,67,61,8,0,0,,Yes,The University of Queensland (RMP),5.99,63.33,The University of Melbourne,5.925,63.33,Deakin University,5.9,62.75,,,,,,,,,,,,"
",2023,Tier 2,,,,,,
880,Non-Rural,65,68,73,0,0,0,,Yes,The University of Queensland (Metro),6.3,68.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
881,Non-Rural,61,84,70,0,0,0,,Yes,The University of Queensland (RMP),6.46,71.67,The University of Notre Dame Sydney,6.5,71.67,Griffith University,6.529,71.25,,,,,,,,,,,,"
",2023,Tier 3,3rd,,,,,
882,Rural,66,52,70,8,0,0,,Yes,The University of Melbourne,6.79,62.67,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
883,Non-Rural,60,73,68,0,2,0,,Yes,The University of Notre Dame Sydney,6.7,67.0,Deakin University,6.69,67.25,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
884,Non-Rural,70,67,82,2,2,0,,Yes,Griffith University,6.458,75.25,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,2nd,,,,,
885,Non-Rural,61,67,73,0,0,0,,Yes,The University of Wollongong,5.5,68.5,The University of Melbourne,6.959,67.0,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
886,Non-Rural,60,72,78,0,0,0,,Yes,The University of Melbourne,6.945,70.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
887,Non-Rural,57,64,94,0,0,0,,Yes,Australian National University,6.6,77.25,The University of Melbourne,6.7,71.67,,,,,,,,,,,,,,,"
",2023,,,,,,,
888,Rural,63,71,70,0,0,0,,Yes,The University of Notre Dame Sydney,6.73,68.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
889,Rural,73,69,76,0,0,0,r,Yes,The University of Notre Dame Sydney,6.47,72.67,,,,,,,,,,,,,,,,,,"
",2023,,2nd,,,,,
890,Rural,61,61,55,10,0,0,deakin rts tier 1,Yes,Deakin University,6.4,58.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
891,Rural,75,64,64,10,0,0,"portfolio above average (?strong), gam application below average, mm7, deakin rts tier 3",Yes,Deakin University,6.95,66.75,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
892,Non-Rural,64,69,83,2,0,0,gam,Yes,Griffith University,6.688,74.75,The University of Melbourne,6.594,72.0,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
893,Non-Rural,57,87,71,0,0,0,gam applicant,Yes,The University of Melbourne,6.83,71.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
894,Non-Rural,71,63,69,0,0,0,"(your place preference makes no difference to your chances at interview offer, deleted note as irrelivant and may cause confusion -luke)
",Yes,The University of Western Australia,6.882,68.0,The University of Melbourne,6.868,67.67,Deakin University,6.889,68.0,The University of Queensland (Metro),6.9,67.67,Australian National University,6.889,68.0,,,,,,"
",2023,,,,,,,
895,Non-Rural,67,72,77,2,0,0,,Yes,Australian National University,6.729,73.25,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
896,Non-Rural,68,87,90,0,0,0,,Yes,The University of Melbourne,6.94,81.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
897,Non-Rural,73,72,62,0,0,0,,Yes,The University of Queensland (Metro),7.0,69.0,The University of Melbourne,6.775,69.0,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
898,Non-Rural,68,72,70,0,0,0,nmo,Yes,The University of Queensland (Metro),7.0,70.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
899,Rural,62,77,57,12,0,0,,Yes,The University of Melbourne,6.8,65.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
900,Non-Rural,71,74,69,0,0,0,,Yes,The University of Queensland (RMP),6.388,71.33,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,,,,,,
901,Non-Rural,65,75,71,2,0,0,,Yes,The University of Queensland (RMP),7.0,70.33,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,3rd,,,,,
902,Non-Rural,66,64,85,0,2,0,,Yes,The University of Western Australia,6.919,75.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
903,Non-Rural,69,67,74,2,0,0,,Yes,The University of Notre Dame Sydney,6.75,70.0,The University of Melbourne,6.775,70.0,Deakin University,6.75,71.0,Australian National University,6.75,71.0,,,,,,,,,"
",2023,,3rd,,,,,
904,Rural,59,60,63,0,0,0,,Yes,Griffith University,6.715,61.25,,,,,,,,,,,,,,,,,,"
",2023,Tier 2,,,,,,
905,Non-Rural,65,61,76,0,0,0,wa resident,Yes,The University of Notre Dame Fremantle,6.644,67.33,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
906,Non-Rural,61,69,73,0,0,0,,Yes,The University of Western Australia,6.9,69.0,Griffith University,6.9,69.0,The University of Queensland (Metro),6.9,67.67,The University of Notre Dame Sydney,6.9,67.67,The University of Melbourne,6.93,67.67,,,,,,"
",2023,,,,,,,
907,Rural,54,54,60,8,0,0,"gamsas calc my gpa off 4 units only (0.5fte) as my key degree (3yr full time) was entirely calculated as credits by them. great portfolio.
",Yes,The University of Queensland (RMP),5.5,56.0,Griffith University,5.688,57.0,,,,,,,,,,,,,,,"
",2023,Tier 2,2nd,,,,,
908,Non-Rural,62,67,66,0,0,0,"average portfolio, wa residence",Yes,The University of Queensland (RMP),6.859,65.0,,,,,,,,,,,,,,,,,,"
",2023,Tier 3,4th,,,,,
909,Non-Rural,61,71,65,2,0,0,,Yes,The University of Wollongong,5.5,65.5,The University of Notre Dame Sydney,6.5,65.67,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
910,Non-Rural,60,72,68,0,0,0,eligible for wa residency bonus,Yes,The University of Notre Dame Fremantle,6.96,66.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
911,Rural,67,62,77,0,0,0,,Yes,The University of Queensland (Metro),6.51,68.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
912,Non-Rural,65,60,81,0,0,0,,Yes,The University of Melbourne,7.0,68.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
913,Non-Rural,57,64,82,0,0,0,,Yes,The University of Notre Dame Sydney,6.7,67.67,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
