,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
35,Non-Rural,65,67,69,0,0,0,"gam, average portfolio",No,,,,The University of Melbourne,6.75,67.0,,,,,,,,,,,,,,,,2022,,,,,,,
36,Non-Rural,67,72,80,6,0,0,,Yes,Deakin University,7.0,74.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
37,Rural,67,62,65,6,2,0,,Yes,Griffith University,6.375,64.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
38,Non-Rural,67,62,91,0,0,0,,Yes,The University of Queensland,6.813,73.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
39,Rural,66,62,63,2,0,0,central queensland-wide bay region mmi,Yes,The University of Queensland,6.474,63.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
40,Rural,68,93,57,2,0,0,,Yes,The University of Queensland,6.885,72.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
41,Non-Rural,55,64,69,2,0,0,i assumed my portfolio was good to at least get an interview offer.,No,,,,The University of Wollongong,5.5,64.25,The University of Notre Dame Fremantle,6.626,62.66666667,The University of Notre Dame Sydney,6.626,62.66666667,Griffith University,6.533,64.25,Deakin University,6.626,64.25,,,,2022,,,,,,,
42,Non-Rural,66,73,81,4,2,0,,Yes,Deakin University,6.46,75.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
43,Non-Rural,60,66,78,0,0,0,,Yes,Griffith University,6.84,70.5,Australian National University,6.84,70.5,,,,,,,,,,,,,,,,2022,,,,,,,
44,Non-Rural,68,64,81,0,0,0,,Yes,The University of Queensland,6.96,71.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
45,Non-Rural,65,71,65,0,0,0,gam,No,,,,The University of Melbourne,6.867,67.0,The University of Queensland,6.756,67.0,Australian National University,6.896,66.5,The University of Western Australia,6.813,66.5,Deakin University,6.889,66.5,Griffith University,6.875,66.5,2022,,,,,,,
46,Non-Rural,63,69,59,2,0,0,,No,,,,The University of Queensland,6.5,63.66666667,Griffith University,6.4,62.5,The University of Notre Dame Fremantle,6.79,63.66666667,Deakin University,6.82,62.5,The University of Notre Dame Fremantle,6.79,63.66666667,,,,2022,,,,,,,
47,Rural,67,75,60,12,0,0,,Yes,Deakin University,5.812,65.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
48,Non-Rural,69,71,73,2,0,0,,Yes,Griffith University,6.965,71.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
49,Non-Rural,60,57,77,0,0,0,,No,,,,The University of Melbourne,6.592,64.66666667,Deakin University,6.771,67.75,The University of Western Australia,6.498,67.75,Griffith University,6.397,67.75,The University of Notre Dame Sydney,6.75,64.66666667,Macquarie University,6.591,67.75,2022,,,,,,,
50,Non-Rural,67,73,59,0,0,0,,No,,,,The University of Melbourne,6.7,66.33333333,Deakin University,6.7,64.5,,,,,,,,,,,,,2022,,,,,,,
51,Non-Rural,62,59,77,4,0,0,strong portfolio (imo),Yes,Deakin University,6.688,68.75,The University of Notre Dame Sydney,6.375,66.0,,,,,,,,,,,,,,,,2022,,,,,,,
52,Non-Rural,64,69,91,0,0,0,forgor gam,Yes,The University of Queensland,6.42,74.66666667,The University of Melbourne,6.245,74.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
53,Non-Rural,54,70,66,0,0,0,,No,,,,The University of Notre Dame Sydney,6.875,63.33333333,The University of Notre Dame Fremantle,6.875,63.33333333,Deakin University,6.896,64.0,,,,Australian National University,6.875,64.0,The University of Melbourne,6.846,63.33333333,2022,,,,,,,
54,Non-Rural,64,81,67,0,0,0,,Yes,Griffith University,6.854,69.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
55,Non-Rural,64,64,68,0,0,0,,No,,,,The University of Melbourne,6.75,65.33333333,Australian National University,6.771,66.0,The University of Queensland,6.792,65.33333333,The University of Notre Dame Sydney,6.771,65.33333333,Griffith University,6.792,66.0,Deakin University,6.75,66.0,2022,,,,,,,
56,Non-Rural,67,59,76,0,0,0,,Yes,The University of Queensland,6.88,67.33333333,The University of Melbourne,6.88,67.33333333,Deakin University,6.88,69.5,,,,,,,,,,,,,2022,,,,,,,
57,Non-Rural,71,78,65,2,0,0,average portfolio,Yes,The University of Queensland,7.0,71.33333333,The University of Melbourne,6.58,71.33333333,Deakin University,6.79,69.75,The University of Notre Dame Sydney,6.79,71.33333333,,,,,,,,,,2022,,,,,,,
58,Non-Rural,60,69,73,0,2,0,,No,,,,The University of Western Australia,6.281,68.75,The University of Melbourne,6.44,67.33333333,Australian National University,6.49,68.75,The University of Notre Dame Sydney,6.427,67.33333333,The University of Notre Dame Fremantle,6.427,67.33333333,Macquarie University,6.315,68.75,2022,,,,,,,
59,Non-Rural,75,76,72,0,2,0,,Yes,The University of Queensland,7.0,74.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
60,Rural,59,54,64,6,0,0,,Yes,Deakin University,6.365,60.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
61,Non-Rural,78,80,58,2,4,0,"no idea what a strong portfolio looks like, but think it was ok?",Yes,The University of Wollongong,5.5,68.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
62,Non-Rural,58,76,55,0,2,0,"top quartile casper, above average-strong diverse portfolio spread over 12 years of experience.
",No,,,,The University of Wollongong,5.5,61.0,The University of Melbourne,6.921,63.0,Australian National University,6.91,61.0,The University of Queensland,6.781,63.0,Griffith University,6.903,61.0,,,,2022,,,,,,,
63,Non-Rural,62,73,68,0,2,0,,Yes,The University of Queensland,7.0,67.66666667,The University of Melbourne,6.313,67.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
64,Non-Rural,65,71,63,0,0,0,above average portfolio,Yes,The University of Notre Dame Sydney,6.755,66.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
65,Rural,74,68,51,14,0,0,,Yes,Griffith University,6.688,61.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
66,Non-Rural,68,65,73,0,0,0,,Yes,Griffith University,6.938,69.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
67,Non-Rural,62,74,67,0,0,0,,Yes,The University of Notre Dame Sydney,6.659,67.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
68,Non-Rural,69,70,68,6,2,0,,No,,,,Deakin University,6.396,68.75,The University of Melbourne,6.35,69.0,The University of Queensland,6.0,69.0,Griffith University,6.33,68.75,The University of Notre Dame Fremantle,6.396,69.0,The University of Notre Dame Sydney,6.396,69.0,2022,,,,,,,
69,Non-Rural,65,76,77,0,2,0,,Yes,The University of Queensland,7.0,72.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
70,Non-Rural,63,64,99,0,0,0,,Yes,The University of Queensland,6.72,75.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
71,Non-Rural,60,75,79,2,0,0,,Yes,Griffith University,6.917,73.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
72,Non-Rural,67,67,74,0,0,0,,Yes,The University of Notre Dame Sydney,6.73,69.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
73,Non-Rural,68,82,70,2,0,0,,Yes,The University of Queensland,6.6,73.33333333,The University of Melbourne,6.5,73.33333333,Deakin University,6.5,72.5,,,,,,,,,,,,,2022,,,,,,,
74,Non-Rural,73,67,77,0,0,0,strong portfolio,Yes,The University of Notre Dame Sydney,6.5,72.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
