THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,Australian National University,No,1,Australian National University,Australian National University,CSP,6.85,-,N/A,N/A,N/A,78,,GAMSAT,Bachelor of Science (Biology),Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Paediatric Surgery
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,BMP,6.21,-,N/A,N/A,N/A,N/A,,GAMSAT,Medical Science,Local,None,Yes,0,Flinders University degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,7,-,69,73,84,78,,GAMSAT,Biomed Sci,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.89,-,64,81,62,67,,GAMSAT,Premed,Local,None,No,0,Non-Flinders degree holder,No,No,FAChSHM: Sexual Health medicine
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,BMP,7,-,60,64,63,63,,GAMSAT,Pharmacy,Local,Honours,Yes,8,Parallel Rural Community Curriculum (PRCC),No,No,FRACP: Cardiology
Medical Student,2025,Deakin University,Yes,2,University of Melbourne,Deakin University,BMP,6.54,-,64,79,64,68,,GAMSAT,Optometry,International,Masters (coursework),No,8,Non-Flinders degree holder,No,No,FRANZCO: Ophthalmology
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,FFP,6.65,-,66,69,84,73,,GAMSAT,BComm,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.85,-,62,74,78,71,,GAMSAT,Engineering,Local,Honours,No,2,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.93,88.3,64,69,93,75,,GAMSAT,Biomed,International,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.93,88.3,64,69,93,75,,GAMSAT,Biomed,International,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Deakin University,No,2,University of Melbourne,Deakin University,CSP,7,89.345,65,64,91,78,,GAMSAT,BBiomed,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Paediatric Emergency Medicine
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.95,-,63,66,76,69,,GAMSAT,Bachelor of Pharmacy (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Griffith University,No,2,University of Queensland,Griffith University,CSP,6.69,-,62,76,82,75,,GAMSAT,BSc BA,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.33,-,55,70,71,68,,GAMSAT,Medical Science (Hons),Local,PhD,No,0,Non-Flinders degree holder,No,No,FCICM: Intensive Care Medicine
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.86,-,59,64,54,58,,GAMSAT,BAppSci MOrth,Local,Masters (coursework),Yes,6,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Queensland,No,2,University of Sydney,University of Queensland,CSP,6.58,-,65,74,76,72,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.92,-,65,59,86,74,,GAMSAT,"Bachelor of Science, Chemistry",Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Wollongong,No,2,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,5.82,-,55,73,58,61,,GAMSAT,Pharmacy,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,7,-,67,71,88,75,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,4,University of Western Australia,University of Melbourne,BMP,6.93,-,68,78,65,70,,GAMSAT,Bachelor of Nutrition and Exercise,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Wollongong,No,2,University of Notre Dame Sydney,University of Notre Dame Sydney,BMP,5.82,-,55,73,58,61,,GAMSAT,Pharmacy,International,None,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Melbourne,No,2,University of Wollongong,University of Wollongong,CSP,6.69,-,49,49,49,49,,GAMSAT,Bachelor of Nursing,International,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Fremantle,Yes,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.88,-,56,73,65,64,,GAMSAT,Biomedical science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Clinical Genetics
Medical Student,2025,University of Notre Dame Sydney,No,5,University of Queensland,University of Notre Dame Sydney,CSP,6.75,-,70,69,63,67,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,7,-,58,67,65,64,,GAMSAT,Exercise Science,Local,Masters (coursework),Yes,8,Parallel Rural Community Curriculum (PRCC),No,No,Guitar rock star
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,7,-,68,69,87,75,,GAMSAT,Bachelor of Biomedicine,Local,None,No,4,Non-Flinders degree holder,No,No,FRACP: Immunology and Allergy
Medical Student,2025,Australian National University,No,1,Australian National University,Australian National University,CSP,6.85,-,N/A,N/A,N/A,78,,GAMSAT,Bachelor of Science (Biology),Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Paediatric Surgery
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.68,-,66,66,79,72,,GAMSAT,Bachelor of Science (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,7,-,71,68,81,73,,GAMSAT,Biomedical Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Western Australia,No,6,University of Melbourne,Australian National University,CSP,5.81,-,50,64,66,61,,GAMSAT,Bachelor of Biomedicine,Local,None,Yes,0,Non-Flinders degree holder,No,Yes,FRACS: Plastic and Reconstructive Surgery
Medical Student,2025,University of Western Australia,Yes,1,University of Western Australia,University of Western Australia,BMP,6.89,-,71,71,64,68,,GAMSAT,Biomedical Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.93,-,63,63,85,70,,GAMSAT,BSci,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Fremantle,Yes,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.82,-,59,74,55,64,,GAMSAT,Bachelor of Nursing,Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Fremantle,No,2,Griffith University,University of Notre Dame Fremantle,BMP,5.96,-,62,69,59,62,,GAMSAT,Bachelor of Business,Local,Masters (coursework),Yes,6,Parallel Rural Community Curriculum (PRCC),Yes,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,6.88,-,60,66,81,69,,GAMSAT,Bachelor of Nursing,Local,None,No,4,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.82,-,58,57,84,71,,GAMSAT,Biomedical Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.82,-,58,57,84,71,,GAMSAT,Biomedical Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Western Australia,Yes,1,University of Western Australia,University of Western Australia,CSP,6.8,-,60,76,85,77,,GAMSAT,Psychology,Local,Honours,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Wollongong,No,4,University of Melbourne,University of Wollongong,BMP,6.22,-,52,74,58,61,,GAMSAT,Bachelor of Biomedicine (Honours),Local,Honours,Yes,8,Non-Flinders degree holder,No,Yes,FRACP: Neurology
Medical Student,2025,University of Notre Dame Sydney,No,3,Australian National University,University of Notre Dame Sydney,CSP,6.79,-,67,72,65,67,,GAMSAT,Law/Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,7,-,59,70,68,66,,GAMSAT,Physiotherapy,Local,None,No,4,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,Australian National University,No,2,Deakin University,Australian National University,Other,6.83,-,58,79,68,68,,GAMSAT,Bachelor of Biomedical Sciencr,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecological Ultrasound
Medical Student,2025,University of Western Australia,No,1,University of Western Australia,University of Western Australia,CSP,6.9,-,70,84,68,73,,GAMSAT,Bachelor of Arts,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Wollongong,No,1,University of Wollongong,University of Wollongong,CSP,6.09,-,55,64,60,60,,GAMSAT,Medical sonography,Local,None,No,0,Parallel Rural Community Curriculum (PRCC),No,Yes,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,7,-,69,72,70,69,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Notre Dame Sydney,No,2,University of Melbourne,University of Notre Dame Sydney,CSP,6.66,-,69,70,72,71,,GAMSAT,Bachelor of Medical Science (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,FACD: Dermatology
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,6.81,-,64,71,68,68,,GAMSAT,Bachelor of Engineering,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,2,University of Queensland,University of Queensland,BMP,6.71,-,61,69,76,70,,GAMSAT,BBiomedSc (Honours),Local,Honours,No,4,Non-Flinders degree holder,No,Yes,FRACP: Neurology
Medical Student,2025,University of Queensland,No,4,University of Notre Dame Sydney,University of Queensland,CSP,6.84,-,66,61,77,68,,GAMSAT,Bachelor of Business,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.73,-,78,72,80,76,,GAMSAT,Engineering,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,7,-,61,62,63,62,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,BMP,6.86,-,65,63,80,69,,GAMSAT,Chemical Engineering and Science,Local,Honours,No,4,Non-Flinders degree holder,No,Yes,FRACGP: General Practice
Medical Student,2025,Macquarie University,No,1,Macquarie University,Macquarie University,FFP,6.93,-,60,63,77,69,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Griffith University,No,4,University of Melbourne,Griffith University,CSP,7,-,54,56,78,67,,GAMSAT,Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,Yes,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.42,-,59,76,60,64,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Western Australia,Yes,2,University of Notre Dame Fremantle,University of Western Australia,CSP,6.56,-,61,84,84,78,,GAMSAT,"BSc (Honours) Physiology, Pathology and Laboratory Medicine",Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCO: Ophthalmology
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.02,-,69,69,66,68,,GAMSAT,"Genetics, Anatomy & Human Biology",Local,PhD,No,0,Non-Flinders degree holder,No,No,FRACP: Palliative Medicine
Medical Student,2025,Macquarie University,No,2,University of Notre Dame Sydney,Macquarie University,FFP,6.78,-,63,73,69,69,,GAMSAT,BMedSc (Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.42,-,59,80,58,49,,GAMSAT,ambulancing,Local,None,No,0,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,CSP,6.81,-,63,65,70,67,,GAMSAT,Med Science,Local,None,No,0,Humanitarian,No,No,Guitar rock star
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,5.9,-,56,59,78,68,,GAMSAT,B Pharm,Local,Honours,No,4,Non-Flinders degree holder,Yes,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,7,-,60,81,74,72,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,4,Non-Flinders degree holder,No,Yes,FRACS: General Surgery
Medical Student,2025,University of Melbourne,No,3,University of Sydney,University of Notre Dame Sydney,CSP,6.7,-,75,64,80,73,,GAMSAT,Software Eng,International,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.85,-,68,82,75,75,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Western Australia,Yes,1,University of Western Australia,University of Western Australia,CSP,6.92,-,61,71,71,69,,GAMSAT,Psychology,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,Flinders University,No,4,University of Melbourne,Flinders University,CSP,7,-,71,61,97,82,,GAMSAT,Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,Flinders University,No,1,Australian National University,Flinders University,CSP,6.35,-,60,63,85,73,,GAMSAT,Bsc (statistics),International,None,No,0,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.75,-,57,82,50,60,,GAMSAT,Paramedic & Law,Local,None,Yes,8,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.75,-,57,82,50,60,,GAMSAT,Paramedic & Law,Local,None,Yes,8,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,Australian National University,No,4,Griffith University,Australian National University,Other,6.1,-,73,71,49,57,,GAMSAT,BSc and BHSc,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Australian National University,No,4,Griffith University,Australian National University,Other,6.1,-,73,71,57,64,na,GAMSAT,BSc and BHSc,Local,None,Yes,6,Parallel Rural Community Curriculum (PRCC),No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.83,-,61,74,73,70,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.87,-,59,62,71,65,,GAMSAT,Diagnostic Radiography,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,University of Notre Dame Sydney,No,6,Griffith University,University of Notre Dame Sydney,FFP,6.71,-,61,58,74,67,,GAMSAT,BVisSci,Local,Masters (coursework),No,6,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.85,-,64,74,75,71,,GAMSAT,Bachelor of Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,Yes,FRACS: General Surgery
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.87,-,59,62,71,65,,GAMSAT,Diagnostic Radiography,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.94,-,63,70,68,67,,GAMSAT,Biomed,Local,None,Yes,8,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,BMP,7,N/A,58,56,94,76,N/A,GAMSAT,Bachelor of Biomedicine,Local,None,No,0,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,University of Western Australia,No,1,University of Western Australia,University of Western Australia,FFP,7,-,65,65,87,76,,GAMSAT,Bachelor of Biomedical Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.87,-,69,71,65,68,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.6,-,51,70,61,61,,GAMSAT,Bachelor of Science,International,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Western Australia,No,1,University of Western Australia,University of Western Australia,CSP,6.56,-,69,85,79,78,,GAMSAT,BBMED,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Notre Dame Sydney,No,5,University of Melbourne,University of Notre Dame Sydney,CSP,6.8,87,58,77,59,63,,GAMSAT,Bachelor of Clinical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,Griffith University,No,2,University of Queensland,University of Queensland,CSP,6.77,-,64,72,100,84,,GAMSAT,BPhty(Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,No,2,University of Queensland,Griffith University,CSP,6.74,-,61,53,90,74,,GAMSAT,Biomedical Science,International,None,No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Notre Dame Fremantle,No,3,Griffith University,University of Notre Dame Fremantle,BMP,7,-,54,66,64,61,,GAMSAT,Bachelor of Midwifery,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,Griffith University,Yes,1,Griffith University,Griffith University,CSP,6.97,-,60,59,78,69,,GAMSAT,Bachelor of Health Science,Local,None,No,4,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.52,-,72,63,70,69,,GAMSAT,Medical Science,Local,Honours,No,0,Flinders University degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.27,-,50,76,59,61,,GAMSAT,Dent,Local,Masters (coursework),Yes,8,Non-Flinders degree holder,No,No,FRACDS (OMS): Oral and Maxillofacial Surgery
Medical Student,2025,University of Notre Dame Sydney,No,3,University of Wollongong,University of Notre Dame Sydney,FFP,6.97,-,66,70,71,70,,GAMSAT,Bachelor of Applied Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: Gastroenterology and Hepatology
Medical Student,2025,Griffith University,No,2,Deakin University,Griffith University,CSP,6.7,-,67,68,80,73,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,BMP,5.96,-,54,71,56,59,,GAMSAT,Public Health,Local,Honours,Yes,6,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Wollongong,No,3,University of Queensland,University of Notre Dame Sydney,CSP,5.8,-,54,66,56,58,,GAMSAT,Public Health,Local,None,Yes,10,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Macquarie University,Yes,1,Macquarie University,Macquarie University,Other,6.95,-,61,66,71,67,,GAMSAT,ClinSci,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,Deakin University,No,2,University of Melbourne,Deakin University,CSP,6.8,-,56,67,85,73,,GAMSAT,B.BMED,Local,None,No,2,Non-Flinders degree holder,No,No,FRACP: Rheumatology
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,BMP,6.74,-,54,55,67,61,,GAMSAT,Bachelor of Pharmacy (Hons),Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Macquarie University,No,6,University of Sydney,Macquarie University,FFP,6.87,-,59,66,81,72,,GAMSAT,Advanced Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Sydney,BMP,7,-,53,60,56,56,,GAMSAT,Paramedicine,Local,None,Yes,10,Non-Flinders degree holder,No,Yes,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.55,-,62,77,78,72,,GAMSAT,Biomedicine,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: General Medicine
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,6.18,-,71,65,71,70,,GAMSAT,Science,Local,None,No,8,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,6.88,-,60,68,82,73,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,BMP,6.91,-,62,69,90,78,,GAMSAT,Bachelor of Biomedical Science,Local,None,No,2,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,5.69,-,81,89,94,90,,GAMSAT,Engineering,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Vascular Surgery
Medical Student,2025,University of Western Australia,No,6,University of Melbourne,University of Melbourne,CSP,6.98,-,52,60,96,76,,GAMSAT,Biomedicine,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: Cardio-thoracic Surgery
Medical Student,2025,Australian National University,No,1,Deakin University,Australian National University,Other,6.83,-,58,79,68,68,,GAMSAT,Bachelor of Biomedical Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,BMP,6.9,-,65,67,75,69,,GAMSAT,Bachelor of Science,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,BMP,5.9,-,69,72,65,69,N/A,GAMSAT,Med sci,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,1,Deakin University,Flinders University,CSP,5.85,-,61,66,52,58,,GAMSAT,Bachelor of Nursing,Local,None,Yes,8,Non-Flinders degree holder,Yes,Yes,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Notre Dame Fremantle,No,3,University of Melbourne,University of Notre Dame Fremantle,CSP,6.5,-,62,66,70,66,,GAMSAT,Dentistry,Local,Masters (coursework),No,2,Non-Flinders degree holder,No,No,FRACDS (OMS): Oral and Maxillofacial Surgery
Medical Student,2025,Australian National University,Yes,1,Australian National University,Australian National University,CSP,6.15,-,82,87,94,89,,GAMSAT,BSci,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,BMP,5.88,-,58,73,45,57,,GAMSAT,Music,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Australian National University,No,1,Australian National University,Australian National University,CSP,6.91,-,65,74,75,72,,GAMSAT,Bachelor of Music,Local,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Queensland,No,2,University of Sydney,University of Queensland,CSP,7,-,53,83,76,72,,GAMSAT,BSci(Adv)(Hons),Local,PhD,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,7,-,65,73,63,67,,GAMSAT,BSc,Local,Masters (coursework),No,2,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Australian National University,No,3,University of Melbourne,Australian National University,CSP,6.53,-,60,70,81,73,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,Australian National University,No,3,University of Melbourne,Australian National University,CSP,6.53,-,60,70,81,73,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,4.79,-,66,74,59,65,,GAMSAT,Psychology,Local,None,Yes,0,Non-Flinders degree holder,No,Yes,FRACP: Cardiology
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.42,-,62,68,68,67,,GAMSAT,Psychology,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.44,-,63,72,72,69,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,Yes,FRACGP: General Practice
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,MRBS,5.49,-,58,64,63,62,,GAMSAT,Bachelor of Exercise Science,Local,Masters (research),Yes,0,Other (rural or ATSI),No,No,Guitar rock star
