THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,University of Sydney,No,1,University of Notre Dame Fremantle,University of Sydney,CSP,5.76,-,84,66,83,N/A,,GAMSAT,BSc (Mathematics),Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,3,University of Sydney,University of Sydney,BMP,6.25,81.78,56,67,71,66,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,8,Non-Flinders degree holder,No,Yes,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Sydney,No,3,University of Sydney,University of Sydney,BMP,6.25,81.78,56,67,71,66,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,8,Non-Flinders degree holder,No,Yes,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Western Australia,No,3,University of Melbourne,University of Western Australia,FFP,6.96,-,55,72,76,70,,GAMSAT,Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,6.31,-,57,84,57,64,,GAMSAT,Biomed,International,None,Yes,10,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,Flinders University,No,1,University of Queensland,Flinders University,FFP,5.8,-,53,54,75,64,,GAMSAT,Bachelor of Health Science,International,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,Deakin University,No,1,University of Queensland,Deakin University,FFP,5.9,-,53,54,75,64,,GAMSAT,Bachelor of Health Science,International,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.6,-,75,66,85,78,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.3,-,79,66,84,78,,GAMSAT,Bachelor of Biomedicine,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCO: Ophthalmology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.4,-,65,82,77,75,,GAMSAT,Biomedicine,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Cardio-thoracic Surgery
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.63,-,68,78,80,76,,GAMSAT,bachelor of science,International,Honours,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,BMP,5.99,-,69,76,68,70,,GAMSAT,Bachelor of Commerce,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,2,University of Sydney,University of Queensland,FFP,6.69,-,56,61,72,63,,GAMSAT,Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,FFP,4.99,-,56,61,72,63,,GAMSAT,Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Melbourne,CSP,6.13,-,77,63,93,78,,GAMSAT,Bachelor of Biomedicine,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,No,2,University of Melbourne,University of Sydney,FFP,6.91,-,55,72,76,70,,GAMSAT,Bachelor of Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,Other,7,-,N/A,N/A,49,N/A,129/130/130/130,MCAT,Hons Bachelor of Arts,International,Masters (research),No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Melbourne,FFP,6.95,91,60,60,82,N/A,,GAMSAT,BSc,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
